,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
0,2512 w laredo ln,phoenix,85085,5.0,4.0,3253.0,2006.0,389900.0,"['""zestimate"":394243']","['""rentZestimate"":2395']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,729 +3.6% $30,160 +6.3%","$394,282 (+0.0 %)",0
1,4419 w summerside rd,laveen,85339,5.0,3.0,3016.0,2005.0,324000.0,"['""zestimate"":322013']","['""rentZestimate"":1800']",single family,"['HOA Fee"",""factValue"":""$93']","2018 $3,273 +5.8% $23,520 +12.5%","$329,194 (+2.2 %)",0
2,3820 s 101st dr,tolleson,85353,3.0,2.0,2213.0,2006.0,249900.0,"['""zestimate"":248202']","['""rentZestimate"":1425']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $1,766 +20% $16,850 +11.1%","$256,914 (+3.5 %)",0
3,6618 s 54th ln,laveen,85339,5.0,3.0,4040.0,2006.0,345900.0,"['""zestimate"":340518']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$64']","2018 $3,121 +5.8% $25,810 +17.9%","$344,774 (+1.2 %)",0
4,2221 n 94th ave,phoenix,85037,4.0,3.0,2603.0,2005.0,260900.0,"['""zestimate"":250584']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $1,515 +12% $17,310 +17.2%","$258,628 (+3.2 %)",0
5,2344 w dusty wren dr,phoenix,85085,3.0,3.0,2092.0,2005.0,302900.0,"['""zestimate"":299935']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$107']","2018 $1,906 +3.6% $19,720 +7.3%","$305,484 (+1.9 %)",0
6,2513 w oberlin way,phoenix,85085,4.0,3.0,2232.0,2002.0,319500.0,"['""zestimate"":317109']","['""rentZestimate"":1700']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,243 +3.4% $23,270 +4.7%","$322,722 (+1.8 %)",0
7,7230 s 42nd ln,phoenix,85041,3.0,1.75,1278.0,2004.0,189000.0,"['""zestimate"":193733']","['""rentZestimate"":1200']",single family,"['HOA Fee"",""factValue"":""$76']","2018 $1,253 -4.8% $12,200 +18.1%","$204,311 (+5.5 %)",0
8,6412 w whyman ave,phoenix,85043,4.0,2.5,2119.0,2001.0,190000.0,"['""zestimate"":236984']","['""rentZestimate"":1395']",single family,"['HOA Fee"",""factValue"":""$30']","2018 $1,276 +6.6% $16,800 +13.1%","$244,496 (+3.2 %)",0
9,2342 w tallgrass trl,phoenix,85085,5.0,3.0,2542.0,2006.0,353900.0,"['""zestimate"":349132']","['""rentZestimate"":1900']",single family,"['HOA Fee"",""factValue"":""$108']","2018 $2,273 +3.6% $26,020 +4.6%","$351,890 (+0.8 %)",0
10,4611 e laredo ln,cave creek,85331,4.0,3.0,2132.0,2000.0,364900.0,"['""zestimate"":362253']","['""rentZestimate"":2000']",single family,"['HOA Fee"",""factValue"":""$63']","2018 $1,734 +3.8% $26,530 +3.9%","$364,427 (+0.6 %)",0
11,4313 w hasan dr,laveen,85339,4.0,3.0,2156.0,2006.0,249900.0,"['""zestimate"":235423']","['""rentZestimate"":1434']",single family,"['HOA Fee"",""factValue"":""$45']","2018 $1,898 +5.8% $16,480 +12.8%","$242,556 (+3.0 %)",0
12,3006 e kings ave,phoenix,85032,3.0,2.5,1653.0,2004.0,239900.0,"['""zestimate"":239931']","['""rentZestimate"":1395']",single family,"['HOA Fee"",""factValue"":""$57']","2018 $1,093 +4.3% $16,180 +37.4%","$249,288 (+3.9 %)",0
13,10225 w camelback rd #23,phoenix,85037,3.0,2.5,1525.0,2013.0,199000.0,"['""zestimate"":209459']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$200']","2018 $1,858 +6.7% $13,220 +4.3%","$217,502 (+3.8 %)",0
14,3237 w galvin st,phoenix,85086,4.0,2.0,2103.0,2004.0,325000.0,"['""zestimate"":328432']","['""rentZestimate"":1775']",single family,"['HOA Fee"",""factValue"":""$51']","2018 $2,570 +3.4% $22,960 +5.6%","$333,983 (+1.7 %)",0
15,7242 s 48th gln,laveen,85339,4.0,3.0,2024.0,2008.0,226900.0,"['""zestimate"":227415']","['""rentZestimate"":1375']",single family,"['HOA Fee"",""factValue"":""$124']","2018 $2,024 +5.8% $15,160 +8.2%","$236,921 (+4.2 %)",0
16,3551 w ross ave,glendale,85308,3.0,2.0,1848.0,2010.0,175000.0,"['""zestimate"":219091']","['""rentZestimate"":1200']",single family,[],"2018 $333 +3.6% $4,810 +42.7%","$232,149 (+6.0 %)",0
17,1924 w nancy ln,phoenix,85041,3.0,2.0,1651.0,2004.0,239900.0,"['""zestimate"":226829']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$42']","2018 $1,614 +7.3% $15,300 +9.8%","$235,131 (+3.7 %)",0
18,3935 e rough rider rd unit 1244,phoenix,85050,3.0,3.0,1535.0,2010.0,327900.0,"['""zestimate"":328793']","['""rentZestimate"":1650']",townhouse,"['HOA Fee"",""factValue"":""$275']","2018 $2,738 +3.8% $25,070 +2.5%","$329,878 (+0.3 %)",0
19,25608 n 50th gln,phoenix,85083,4.0,3.0,3002.0,2009.0,414900.0,"['""zestimate"":416546']","['""rentZestimate"":2405']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $2,975 +3.6% $33,010 +5.3%","$420,420 (+0.9 %)",0
20,1102 w mohave st,phoenix,85007,4.0,2.0,1663.0,2018.0,189999.0,"['""zestimate"":192724']","['""rentZestimate"":975']",single family,[],"2018 $325 -8.4% $5,760 +20%","$206,774 (+7.3 %)",0
21,19226 n cave creek rd unit 102,phoenix,85024,3.0,3.0,1334.0,2005.0,255900.0,"['""zestimate"":252171']","['""rentZestimate"":1500']",townhouse,"['HOA Fee"",""factValue"":""$245']","2018 $1,745 +4.7% $17,650 +3.5%","$257,895 (+2.3 %)",0
22,"the gallery - build on your lot! plan, fairway homes west phoenix",phoenix,85027,,,,,161900.0,"['""zestimate"":278587']","['""rentZestimate"":1550']",sunday and monday by appointmenttuesday ? friday 10am ? 6pmsaturday 9am ? 6pm,[],,"-$2,478 (-0.9 %)",0
23,3010 w rapalo rd,phoenix,85086,4.0,2.0,2350.0,2003.0,357000.0,"['""zestimate"":350990']","['""rentZestimate"":1945']",single family,"['HOA Fee"",""factValue"":""$51']","2018 $2,814 +3.4% $25,730 +5.5%","$357,343 (+1.8 %)",0
24,8425 w avalon dr,phoenix,85037,4.0,2.0,1629.0,2001.0,214900.0,"['""zestimate"":205237']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$40']","2018 $1,116 +7.3% $13,780 +3.8%","$212,318 (+3.5 %)",0
25,1718 s 5th st,phoenix,85004,3.0,2.5,1576.0,2008.0,193000.0,"['""zestimate"":192877']","['""rentZestimate"":1275']",single family,[],"2018 $661 +2.4% $9,510 +21.9%","$204,739 (+6.2 %)",0
26,3314 w fraktur rd,phoenix,85041,4.0,2.5,2165.0,2005.0,240000.0,"['""zestimate"":225927']","['""rentZestimate"":1395']",single family,"['HOA Fee"",""factValue"":""$65']","2018 $1,632 +7.3% $15,570 +13.2%","$233,586 (+3.4 %)",0
27,4108 n 48th dr,phoenix,85031,4.0,2.0,1975.0,2018.0,277220.0,"['""zestimate"":216450']","['""rentZestimate"":1350']",single family,[],"2018 $538 +1.3% $4,140 +16%","-$1,342 (-0.6 %)",0
28,7172 s 48th gln,laveen,85339,3.0,2.5,1418.0,2008.0,,"['""zestimate"":199805']","['""rentZestimate"":1295']",single family,"['HOA Fee"",""factValue"":""$154']","2018 $1,658 +5.8% $12,750 +9.2%",,0
29,1751 w tombstone trl,phoenix,85085,4.0,4.0,2484.0,2015.0,442900.0,"['""zestimate"":425921']","['""rentZestimate"":2405']",single family,"['HOA Fee"",""factValue"":""$130']","2018 $3,153 +3.6% $31,050 -16.3%","+$12,787 (+3.1 %)",0
30,2325 w white feather ln,phoenix,85085,3.0,2.5,1558.0,2002.0,295000.0,"['""zestimate"":289303']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $1,832 +21.1% $19,110 +6.3%","$294,076 (+1.6 %)",0
31,6834 s 29th ln,phoenix,85041,4.0,4.0,3771.0,2005.0,289000.0,"['""zestimate"":302931']","['""rentZestimate"":1750']",single family,"['HOA Fee"",""factValue"":""$54']","2018 $3,024 +4.9% $23,510 +6.8%","$306,748 (+1.3 %)",0
32,10034 w winslow ave,tolleson,85353,4.0,3.0,1819.0,2006.0,199900.0,"['""zestimate"":214906']","['""rentZestimate"":1325']",single family,"['HOA Fee"",""factValue"":""$76']","2018 $1,103 +6.3% $14,130 +13%","$219,956 (+2.3 %)",0
33,2315 e sunland ave,phoenix,85040,4.0,2.5,1743.0,2006.0,243900.0,"['""zestimate"":243545']","['""rentZestimate"":1400']",single family,"['HOA Fee"",""factValue"":""$135']","2018 $2,001 +7.3% $16,710 +12.8%","$249,707 (+2.5 %)",0
34,16232 n 27th pl,phoenix,85032,3.0,2.0,1511.0,2007.0,228900.0,"['""zestimate"":244942']","['""rentZestimate"":1449']",single family,[],"2018 $874 +22.5% $9,710 +13.3%","$246,902 (+0.8 %)",0
35,5217 w beautiful ln,laveen,85339,4.0,3.0,2849.0,2007.0,265000.0,"['""zestimate"":275547']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$72']","2018 $2,404 +5.8% $20,350 +16.6%","$281,499 (+2.2 %)",0
36,6401 w villa linda dr,glendale,85310,3.0,3.0,1833.0,2001.0,310000.0,"['""zestimate"":326537']","['""rentZestimate"":1650']",single family,"['HOA Fee"",""factValue"":""$56']","2018 $2,110 +3.6% $22,560 +7.6%","$330,488 (+1.2 %)",0
37,"el conquistador - build on your lot! plan, fairway homes west phoenix",phoenix,85027,,,,,187900.0,"['""zestimate"":299544']","['""rentZestimate"":1600']",sunday and monday by appointmenttuesday ? friday 10am ? 6pmsaturday 9am ? 6pm,[],,"-$24,649 (-7.6 %)",0
38,405 w la mirada dr,phoenix,85041,3.0,2.0,1701.0,2007.0,194500.0,"['""zestimate"":224553']","['""rentZestimate"":1395']",single family,[],"2018 $1,386 +7.3% $15,210 +2.6%","$231,739 (+3.2 %)",0
39,7015 w alicia dr,laveen,85339,4.0,3.0,2261.0,2015.0,220000.0,"['""zestimate"":246265']","['""rentZestimate"":1499']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,366 +5.8% $16,530 +5.8%","+$8,573 (+3.6 %)",0
40,7021 w trumbull rd,phoenix,85043,4.0,3.0,2785.0,2010.0,279900.0,"['""zestimate"":278896']","['""rentZestimate"":1600']",single family,"['HOA Fee"",""factValue"":""$78']","2018 $1,702 +6.6% $19,630 +3.8%","$289,606 (+3.8 %)",0
41,3028 w chanute pass,phoenix,85041,5.0,3.0,2314.0,2005.0,237900.0,"['""zestimate"":251237']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$47']","2018 $2,110 +4.9% $18,660 +19.6%","$262,568 (+4.5 %)",0
42,7814 s 5th dr,phoenix,85041,4.0,3.0,1313.0,2005.0,,"['""zestimate"":206498']","['""rentZestimate"":1393']",single family,[],"2018 $1,500 +7.3% $13,170 +0.7%","$219,032 (+6.1 %)",0
43,2206 w spur dr,phoenix,85085,4.0,4.0,2231.0,2005.0,352900.0,"['""zestimate"":344174']","['""rentZestimate"":1750']",single family,"['HOA Fee"",""factValue"":""$60']","2018 $2,327 +3.6% $24,610 +9.5%","$347,203 (+0.9 %)",0
44,3239 w gran paradiso dr,phoenix,85086,4.0,2.5,2151.0,2011.0,295000.0,"['""zestimate"":302979']","['""rentZestimate"":1550']",single family,"['HOA Fee"",""factValue"":""$82']",,"$306,887 (+1.3 %)",0
0,2910 n 48th pl,phoenix,85018,4.0,3.5,2242,2002.0,449900,"['""zestimate"":434132']","['""rentZestimate"":2495']",single family,"['HOA Fee"",""factValue"":""$167']","2018 $3,278 +4.1% $34,020 +3.2%","$441,078 (+1.6 %)",0
1,3551 w ross ave,glendale,85308,3.0,2.0,1848,2010.0,175000,"['""zestimate"":219091']","['""rentZestimate"":1200']",single family,[],"2018 $333 +3.6% $4,810 +42.7%","$232,149 (+6.0 %)",0
2,8506 w luken way,tolleson,85353,4.0,2.5,2145,2006.0,220000,"['""zestimate"":222246']","['""rentZestimate"":1307']",single family,"['HOA Fee"",""factValue"":""$59']","2018 $1,421 +7.7% $14,810 +11.8%","$229,425 (+3.2 %)",0
3,7823 s 5th dr,phoenix,85041,5.0,3.0,2576,2005.0,284900,"['""zestimate"":273442']","['""rentZestimate"":1600']",single family,"['HOA Fee"",""factValue"":""$91']","2018 $2,318 +7.3% $18,610 -0.3%","$277,188 (+1.4 %)",0
4,1920 e bell rd unit 1189,phoenix,85022,2.0,2.5,1344,2006.0,190000,"['""zestimate"":193924']","['""rentZestimate"":1350']",townhouse,"['HOA Fee"",""factValue"":""$195']","2018 $1,000 +4.3% $13,370 +13.6%","$202,011 (+4.2 %)",0
5,6441 s cottonfields ln,laveen,85339,3.0,2.0,2208,2003.0,309000,"['""zestimate"":297293']","['""rentZestimate"":1600']",single family,"['HOA Fee"",""factValue"":""$75']","2018 $3,044 +5.4% $21,860 +11.5%","$304,071 (+2.3 %)",0
6,6535 w jomax rd,phoenix,85083,4.0,3.0,2476,2001.0,325000,"['""zestimate"":334939']","['""rentZestimate"":1900']",single family,"['HOA Fee"",""factValue"":""$45']","2018 $2,356 +3.6% $26,730 +7.7%","$340,030 (+1.5 %)",0
7,7135 w zak rd,phoenix,85043,4.0,2.0,1580,2000.0,214900,"['""zestimate"":205558']","['""rentZestimate"":1275']",single family,"['HOA Fee"",""factValue"":""$55']","2018 $1,071 +6% $13,330 +14.7%","$216,843 (+5.5 %)",0
8,2021 w caleb rd,phoenix,85085,4.0,2.0,2282,2006.0,419000,"['""zestimate"":394356']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$46']","2018 $2,438 +3.6% $27,820 +5.1%","$395,894 (+0.4 %)",0
9,9513 w kingman st,tolleson,85353,4.0,2.5,2479,2004.0,255000,"['""zestimate"":250251']","['""rentZestimate"":1450']",single family,"['HOA Fee"",""factValue"":""$51']","2018 $1,356 +8.5% $16,160 +11.4%","$258,009 (+3.1 %)",0
10,2329 w fawn dr,phoenix,85041,5.0,3.0,2882,2007.0,294900,"['""zestimate"":296948']","['""rentZestimate"":1725']",single family,"['HOA Fee"",""factValue"":""$67']","2018 $3,262 +7.3% $23,800 +8.2%","$299,917 (+1.0 %)",0
11,6834 s 29th ln,phoenix,85041,4.0,4.0,3771,2005.0,289000,"['""zestimate"":302931']","['""rentZestimate"":1750']",single family,"['HOA Fee"",""factValue"":""$54']","2018 $3,024 +4.9% $23,510 +6.8%","$306,748 (+1.3 %)",0
12,7814 s 5th dr,phoenix,85041,4.0,3.0,1313,2005.0,,"['""zestimate"":206498']","['""rentZestimate"":1393']",single family,[],"2018 $1,500 +7.3% $13,170 +0.7%","$219,032 (+6.1 %)",0
13,3308 w adobe dam rd,phoenix,85027,4.0,2.5,2971,2001.0,399000,"['""zestimate"":420356']","['""rentZestimate"":2200']",single family,"['HOA Fee"",""factValue"":""$30']","2018 $3,678 +3.4% $33,330 +10.5%","$420,482 (+0.0 %)",0
14,3535 e hazelwood st,phoenix,85018,4.0,3.5,2403,2018.0,490000,"['""zestimate"":498704']","['""rentZestimate"":2300']",single family,[],"2018 $3,768 +4.3% $32,280 +9.8%","$501,247 (+0.5 %)",0
15,6854 w darrel rd,laveen,85339,3.0,2.0,1634,2004.0,214900,"['""zestimate"":214535']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$72']","2018 $1,421 +5.8% $12,660 +14.3%","$223,095 (+4.0 %)",0
16,5113 w swayback pass,phoenix,85083,5.0,3.5,3548,2006.0,439000,"['""zestimate"":442925']","['""rentZestimate"":2395']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $3,341 +3.6% $35,010 +5.2%","$449,879 (+1.6 %)",0
17,520 e townley ave,phoenix,85020,4.0,2.0,1514,2005.0,289900,"['""zestimate"":280236']","['""rentZestimate"":1515']",single family,[],"2018 $1,285 +0.5% $17,100 +11.3%","$287,466 (+2.6 %)",0
18,7812 s 48th dr,laveen,85339,4.0,2.5,1562,2005.0,204900,"['""zestimate"":208597']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$68']","2018 $1,440 +5.8% $13,370 +15%","$215,356 (+3.2 %)",0
19,2017 w whisper rock trl,phoenix,85085,4.0,3.5,3008,2004.0,417000,"['""zestimate"":439873']","['""rentZestimate"":2395']",single family,"['HOA Fee"",""factValue"":""$175']","2018 $3,272 +3.6% $31,120 +5.3%","$443,392 (+0.8 %)",0
20,8425 w avalon dr,phoenix,85037,4.0,2.0,1629,2001.0,214900,"['""zestimate"":205237']","['""rentZestimate"":1300']",single family,"['HOA Fee"",""factValue"":""$40']","2018 $1,116 +7.3% $13,780 +3.8%","$212,318 (+3.5 %)",0
21,5332 s 34th dr,phoenix,85041,4.0,2.0,2072,2016.0,260000,"['""zestimate"":253930']","['""rentZestimate"":1460']",single family,"['HOA Fee"",""factValue"":""$85']","2018 $2,222 +7.3% $18,380 +11%","+$11,156 (+4.6 %)",0
22,10225 w camelback rd #23,phoenix,85037,3.0,2.5,1525,2013.0,199000,"['""zestimate"":209459']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$200']","2018 $1,858 +6.7% $13,220 +4.3%","$217,502 (+3.8 %)",0
23,1920 e bell rd unit 1036,phoenix,85022,3.0,2.0,1439,2006.0,210000,"['""zestimate"":208492']","['""rentZestimate"":1350']",townhouse,"['HOA Fee"",""factValue"":""$195']","2018 $898 +4.7% $14,170 +13.6%","$216,998 (+4.1 %)",0
24,5650 w wood st,phoenix,85043,4.0,3.0,2502,2006.0,249999,"['""zestimate"":244681']","['""rentZestimate"":1495']",single family,"['HOA Fee"",""factValue"":""$41']","2018 $1,423 +7% $16,400 +12.9%","$251,777 (+2.9 %)",0
25,3211 w saint anne ave,phoenix,85041,5.0,2.5,3182,2005.0,265000,"['""zestimate"":265644']","['""rentZestimate"":1590']",single family,"['HOA Fee"",""factValue"":""$15']","2018 $2,095 +7.3% $18,200 +6.7%","$274,437 (+3.3 %)",0
26,517 e ames pl,phoenix,85004,3.0,3.5,1568,2014.0,350000,"['""zestimate"":363413']","['""rentZestimate"":1950']",townhouse,"['HOA Fee"",""factValue"":""$200']","2018 $4,015 +2.4% $30,160 +3.5%","$363,885 (+0.1 %)",0
27,631 e cody dr,phoenix,85040,4.0,2.5,1641,2006.0,209000,"['""zestimate"":206167']","['""rentZestimate"":1325']",single family,"['HOA Fee"",""factValue"":""$45']","2018 $1,412 +4.9% $12,810 +11.3%","$215,238 (+4.4 %)",0
28,20035 n 39th ave,glendale,85308,3.0,2.0,1867,2004.0,275000,"['""zestimate"":271109']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$66']","2018 $1,523 +3.6% $19,950 +16.8%","$276,152 (+1.9 %)",0
29,8436 s 21st pl,phoenix,85042,4.0,3.0,2458,2006.0,448000,"['""zestimate"":398116']","['""rentZestimate"":2205']",single family,"['HOA Fee"",""factValue"":""$110']","2018 $3,723 +7.3% $31,930 +3.3%","$401,619 (+0.9 %)",0
30,2690 n 73rd dr,phoenix,85035,3.0,2.5,1579,2014.0,199900,"['""zestimate"":197476']","['""rentZestimate"":1275']",single family,"['HOA Fee"",""factValue"":""$109']","2018 $2,022 +3.4% $13,510 +5.3%","$206,125 (+4.4 %)",0
31,2725 e mine creek rd unit 1133,phoenix,85024,2.0,2.5,1166,2013.0,219500,"['""zestimate"":230589']","['""rentZestimate"":1400']",townhouse,"['HOA Fee"",""factValue"":""$251']","2018 $1,479 +4.7% $17,210 +8.6%","$237,276 (+2.9 %)",0
32,4913 w pedro ln,laveen,85339,5.0,3.0,3364,2004.0,345000,"['""zestimate"":379321']","['""rentZestimate"":2095']",single family,"['HOA Fee"",""factValue"":""$68']","2018 $3,263 +5.8% $26,920 +13.1%","$379,776 (+0.1 %)",0
33,2116 e danbury rd,phoenix,85022,3.0,2.0,1615,2003.0,275000,"['""zestimate"":271372']","['""rentZestimate"":1500']",single family,"['HOA Fee"",""factValue"":""$47']","2018 $1,668 +4.3% $17,350 +7.6%","$276,555 (+1.9 %)",0
34,16015 n 30th st unit 120,phoenix,85032,2.0,3.0,1172,2006.0,192500,"['""zestimate"":190807']","['""rentZestimate"":1250']",townhouse,"['HOA Fee"",""factValue"":""$175']",,"$198,687 (+4.1 %)",0
35,2209 e flandreau rd,phoenix,85024,4.0,2.5,2857,2016.0,460000,"['""zestimate"":444951']","['""rentZestimate"":2000']",single family,"['HOA Fee"",""factValue"":""$101']","2018 $2,726 +4.7% $32,710 +3.2%","+$30,503 (+7.4 %)",0
36,5533 w cavedale dr,phoenix,85083,3.0,2.0,1814,2007.0,329900,"['""zestimate"":326832']","['""rentZestimate"":1695']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $2,889 +3.4% $23,180 +7.1%","$334,382 (+2.3 %)",0
37,7242 s 48th gln,laveen,85339,4.0,3.0,2024,2008.0,226900,"['""zestimate"":227415']","['""rentZestimate"":1375']",single family,"['HOA Fee"",""factValue"":""$124']","2018 $2,024 +5.8% $15,160 +8.2%","$236,921 (+4.2 %)",0
38,16825 n 14th st unit 118,phoenix,85022,4.0,3.0,1787,2007.0,248000,"['""zestimate"":246168']","['""rentZestimate"":1475']",townhouse,"['HOA Fee"",""factValue"":""$149']","2018 $1,212 +4.7% $16,250 +5%","$251,608 (+2.2 %)",0
39,610 e roosevelt st unit 147,phoenix,85004,2.0,2.0,1238,2004.0,295000,"['""zestimate"":290094']","['""rentZestimate"":1500']",condo,"['HOA Fee"",""factValue"":""$235']","2018 $1,579 +3.7% $17,870 +14.1%","$304,570 (+5.0 %)",0
40,3935 e rough rider rd unit 1244,phoenix,85050,3.0,3.0,1535,2010.0,327900,"['""zestimate"":328793']","['""rentZestimate"":1650']",townhouse,"['HOA Fee"",""factValue"":""$275']","2018 $2,738 +3.8% $25,070 +2.5%","$329,878 (+0.3 %)",0
41,10225 w camelback rd unit 12,phoenix,85037,3.0,2.5,1837,2007.0,219900,"['""zestimate"":220582']","['""rentZestimate"":1400']",single family,"['HOA Fee"",""factValue"":""$200']","2018 $1,784 +7.3% $13,900 +4.1%","$227,288 (+3.0 %)",0
42,114 w adams st unit 310,phoenix,85003,2.0,2.0,1718,2005.0,429000,"['""zestimate"":419691']","['""rentZestimate"":1750']",condo,[],"2018 $1,833 +2.7% $19,210 +14.7%","$428,756 (+2.2 %)",0
43,"24 plan, villa carmel",phoenix,85032,,,,,52900,"['""zestimate"":220685']","['""rentZestimate"":1150']",monday - friday 9am to 3pmweekends by appointment only,[],,Unavailable,0
