address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec
,portland,97218,3.0,1.5,960,1978,,"['""zestimate"":307550']","['""rentZestimate"":1695']",single family,[],"2017 $3,616 +14% $138,540 +3%","$322,743 (+4.9 %)"
,portland,97214,3.0,2.0,2489,1912,499500,"['""zestimate"":530250']","['""rentZestimate"":2060']",single family,[],"2017 $5,831 +14% $223,410 +3%","$550,824 (+3.9 %)"
,portland,97220,2.0,,941,1942,225000,"['""zestimate"":230103']","['""rentZestimate"":1495']",single family,[],"2017 $1,704 +7.8% $75,580 +3%","-$1,908 (-0.8 %)"
,portland,97211,3.0,2.0,2080,1949,439900,"['""zestimate"":468983']","['""rentZestimate"":2095']",single family,[],"2017 $2,143 +14% $82,110 +3%",+$412 (+0.1 %)
,portland,97215,3.0,2.0,1785,1916,475000,"['""zestimate"":481763']","['""rentZestimate"":1995']",single family,[],"2017 $5,407 +14% $207,170 +3%","$472,369 (-1.9 %)"
,portland,97217,3.0,2.0,2179,1922,375000,"['""zestimate"":372895']","['""rentZestimate"":2210']",single family,[],"2017 $3,348 +14% $128,310 +3%","$400,004 (+7.3 %)"
,portland,97233,3.0,,1108,1964,275000,"['""zestimate"":279705']","['""rentZestimate"":1695']",single family,[],"2017 $3,113 +8.8% $139,640 +3%","$306,725 (+9.7 %)"
,portland,97218,2.0,3.0,1272,1998,329000,"['""zestimate"":330209']","['""rentZestimate"":1890']",single family,"['HOA Fee"",""factValue"":""$16']","2017 $4,540 +32.4% $173,950 +3%","-$16,089 (-4.6 %)"
,portland,97236,3.0,2.0,1682,2000,223730,"['""zestimate"":304356']","['""rentZestimate"":1600']",single family,[],"2017 $3,514 +22.4% $177,230 +4.3%","$314,765 (+3.4 %)"
,portland,97220,3.0,2.0,1530,1949,479000,"['""zestimate"":384462']","['""rentZestimate"":1849']",single family,[],"2017 $3,879 +14% $148,650 +3%","$403,916 (+5.1 %)"
,portland,97239,2.0,2.0,1552,1923,333000,"['""zestimate"":403584']","['""rentZestimate"":1695']",single family,[],"2017 $4,891 +14% $187,600 +3%","-$1,486 (-0.4 %)"
,portland,97203,2.0,,740,1905,319000,"['""zestimate"":321535']","['""rentZestimate"":1480']",single family,[],"2017 $2,092 +14% $80,160 +3%","+$38,017 (+13.4 %)"
,portland,97236,3.0,3.0,1028,2003,225000,"['""zestimate"":225373']","['""rentZestimate"":1495']",townhouse,[],"2017 $2,759 +11.8% $124,030 +3%","-$11,947 (-5.0 %)"
,portland,97216,2.0,,919,1940,265999,"['""zestimate"":263348']","['""rentZestimate"":1495']",single family,[],"2017 $2,284 +6.6% $102,710 +3%","-$13,047 (-4.7 %)"
,portland,97233,3.0,2.0,1338,1972,274900,"['""zestimate"":286050']","['""rentZestimate"":1725']",single family,[],"2017 $2,896 +6.6% $130,230 +3%","$309,134 (+8.1 %)"
,portland,97219,2.0,,750,1955,299950,"['""zestimate"":305651']","['""rentZestimate"":1595']",single family,[],"2017 $2,888 +14% $110,760 +3%","$316,960 (+3.7 %)"
,portland,97206,4.0,3.0,1715,2007,374900,"['""zestimate"":412024']","['""rentZestimate"":1950']",single family,[],"2017 $5,039 +14% $193,080 +3%","-$6,221 (-1.5 %)"
,portland,97266,5.0,3.0,2015,1996,262500,"['""zestimate"":245697']","['""rentZestimate"":1595']",multi family,[],"2017 $2,562 +6.6% $115,220 +3%","-$55,398 (-18.4 %)"
,portland,97266,4.0,2.0,2500,1970,385000,"['""zestimate"":392468']","['""rentZestimate"":1995']",single family,[],"2017 $3,710 +6.6% $166,820 +3%","$402,280 (+2.5 %)"
,portland,97217,5.0,3.0,3259,1909,499000,"['""zestimate"":604584']","['""rentZestimate"":1995']",single family,[],"2017 $3,387 +14% $129,790 +3%","$605,975 (+0.2 %)"
,portland,97236,4.0,3.0,1661,2005,329995,"['""zestimate"":320728']","['""rentZestimate"":1795']",single family,[],"2017 $4,081 +12.5% $183,470 +3%","$347,733 (+8.4 %)"
,portland,97211,3.0,2.0,2292,1929,490000,"['""zestimate"":559045']","['""rentZestimate"":2295']",single family,[],"2017 $3,179 +14% $121,810 +3%","+$6,039 (+1.1 %)"
,portland,97203,3.0,2.0,1320,2003,345000,"['""zestimate"":353461']","['""rentZestimate"":1895']",single family,[],"2017 $3,312 +14% $126,920 +3%","$376,012 (+6.4 %)"
,portland,97206,2.0,,1080,1941,395000,"['""zestimate"":395994']","['""rentZestimate"":1795']",single family,[],"2017 $4,667 +14% $178,830 +3%","+$3,431 (+0.9 %)"
,portland,97220,2.0,,858,1951,329000,"['""zestimate"":321269']","['""rentZestimate"":1500']",single family,[],"2017 $2,640 +7.5% $121,010 +3%","$350,729 (+9.2 %)"
,portland,97219,3.0,2.0,1226,1983,330000,"['""zestimate"":351681']","['""rentZestimate"":1945']",single family,[],"2017 $5,378 +15.3% $206,290 +3%","$357,554 (+1.7 %)"
,portland,97217,3.0,3.0,1433,2011,419000,"['""zestimate"":419819']","['""rentZestimate"":2045']",single family,[],"2017 $4,668 +14% $178,850 +3%","$412,430 (-1.8 %)"
,portland,97212,3.0,2.1,1303,2002,499750,"['""zestimate"":494948']","['""rentZestimate"":2095']",condo,[],"2017 $6,214 +14% $238,100 +3%","+$33,381 (+7.2 %)"
,portland,97220,3.0,2.0,1374,1942,275000,"['""zestimate"":288597']","['""rentZestimate"":1695']",single family,[],"2017 $2,064 +7.5% $94,620 +3%","$305,855 (+6.0 %)"
,portland,97220,3.0,2.0,1014,1960,342000,"['""zestimate"":327285']","['""rentZestimate"":1625']",single family,[],"2017 $2,234 +7.5% $102,440 +3%","$352,224 (+7.6 %)"
,portland,97233,3.0,2.0,1284,2000,237000,"['""zestimate"":236629']","['""rentZestimate"":1550']",townhouse,[],"2017 $3,367 +25.1% $162,640 +3%",-$590 (-0.2 %)
,portland,97219,2.0,,800,1955,399900,"['""zestimate"":404851']","['""rentZestimate"":1800']",single family,[],"2017 $4,247 +14% $162,880 +3%","+$2,537 (+0.6 %)"
,portland,97203,2.0,,724,1954,249900,"['""zestimate"":254500']","['""rentZestimate"":1450']",single family,[],"2017 $1,956 +14% $74,940 +3%","-$8,426 (-3.2 %)"
,portland,97203,4.0,2.0,2460,1924,399000,"['""zestimate"":404114']","['""rentZestimate"":1995']",single family,[],"2017 $4,067 +14% $155,850 +3%","$417,652 (+3.4 %)"
,portland,97203,2.0,,1498,1947,359900,"['""zestimate"":377814']","['""rentZestimate"":1795']",single family,[],"2017 $3,178 +14% $121,780 +3%","$392,322 (+3.8 %)"
,portland,97229,2.0,3.0,1834,1997,430000,"['""zestimate"":439165']","['""rentZestimate"":1995']",townhouse,"['HOA Fee"",""factValue"":""$85']","2018 $5,112 -- $315,560 +3%","$449,002 (+2.2 %)"
,portland,97266,2.0,,857,1949,250000,"['""zestimate"":286630']","['""rentZestimate"":1520']",single family,[],"2017 $2,672 +6.6% $120,120 +3%","+$8,000 (+2.9 %)"
,portland,97266,3.0,3.0,1692,2005,275000,"['""zestimate"":285645']","['""rentZestimate"":1608']",townhouse,[],"2017 $3,543 +23.3% $135,740 +3%","+$1,366 (+0.5 %)"
,portland,97206,2.0,,1040,1904,319900,"['""zestimate"":322734']","['""rentZestimate"":1576']",single family,[],"2017 $2,628 +14% $100,680 +3%","$322,540 (-0.1 %)"
,portland,97206,3.0,2.0,1148,1913,319000,"['""zestimate"":320148']","['""rentZestimate"":1785']",single family,[],"2017 $3,062 +14% $117,340 +3%","-$11,013 (-3.3 %)"
,portland,97211,3.0,,2592,1900,475000,"['""zestimate"":480179']","['""rentZestimate"":2170']",single family,[],"2017 $2,059 +14% $78,900 +3%","+$7,794 (+1.6 %)"
,portland,97236,3.0,2.0,1144,1998,,"['""zestimate"":307430']","['""rentZestimate"":1695']",single family,[],"2017 $3,812 +19.8% $175,900 +3%","$335,837 (+9.2 %)"
,portland,97206,3.0,3.0,1517,2018,399900,"['""zestimate"":401134']",[],single family,[],"2017 $1,309 +458.5% $50,170 +404.7%","+$3,070 (+0.8 %)"
,portland,97219,2.0,2.0,1913,1940,459900,"['""zestimate"":468329']","['""rentZestimate"":1950']",single family,[],"2017 $5,902 +14% $226,380 +3%","-$18,989 (-3.9 %)"
,portland,97206,3.0,2.0,1144,1929,359500,"['""zestimate"":349525']","['""rentZestimate"":1545']",single family,[],"2017 $2,618 +14% $100,320 +3%","$348,127 (-0.4 %)"
,portland,97206,3.0,,1489,1925,375000,"['""zestimate"":390872']","['""rentZestimate"":1795']",single family,[],"2017 $3,464 +14% $132,750 +3%","$398,572 (+2.0 %)"
,portland,97217,3.0,3.0,1988,1940,460000,"['""zestimate"":456950']","['""rentZestimate"":1995']",single family,[],"2017 $3,501 +14% $134,140 +3%","-$5,779 (-1.2 %)"
,portland,97239,2.0,,1467,1888,295950,"['""zestimate"":245275']","['""rentZestimate"":1895']",single family,[],"2017 $3,820 +14% $146,510 +3%","+$1,690 (+0.7 %)"
,portland,97203,3.0,,1598,1894,350000,"['""zestimate"":363254']","['""rentZestimate"":1850']",single family,[],"2017 $2,809 +14% $107,630 +3%","+$4,735 (+1.3 %)"
,portland,97213,2.0,,1760,1900,375000,"['""zestimate"":396356']","['""rentZestimate"":1850']",single family,[],"2017 $3,280 +14% $125,690 +3%","$407,573 (+2.8 %)"
,portland,97203,3.0,3.0,1458,2006,354900,"['""zestimate"":356224']","['""rentZestimate"":1925']",single family,[],"2017 $4,926 +14% $188,750 +3%",+$897 (+0.3 %)
,portland,97203,3.0,3.0,1503,2005,335000,"['""zestimate"":337054']","['""rentZestimate"":1750']",condo,[],"2017 $4,346 +14% $166,540 +3%","+$11,296 (+3.5 %)"
,portland,97202,3.0,2.0,2514,1929,499950,"['""zestimate"":576992']","['""rentZestimate"":2300']",single family,[],"2017 $6,631 +14% $254,090 +3%","$565,510 (-2.0 %)"
,portland,97232,3.0,2.0,2424,1913,479900,"['""zestimate"":514729']","['""rentZestimate"":2195']",single family,[],"2017 $4,697 +14% $179,970 +3%","$503,971 (-2.1 %)"
,portland,97216,3.0,3.0,1430,2007,284500,"['""zestimate"":272682']","['""rentZestimate"":1750']",townhouse,"['HOA Fee"",""factValue"":""$46']","2017 $3,319 +6.6% $149,230 +3%",+$788 (+0.3 %)
,portland,97206,3.0,2.0,1380,2002,360000,"['""zestimate"":370934']","['""rentZestimate"":1800']",single family,[],"2017 $4,411 +14% $169,000 +3%","$382,656 (+3.2 %)"
,portland,97203,3.0,2.5,1502,2001,,"['""zestimate"":351666']","['""rentZestimate"":1900']",single family,[],"2017 $3,415 +14% $130,850 +3%","+$1,685 (+0.5 %)"
,portland,97219,3.0,,960,1971,357500,"['""zestimate"":386417']","['""rentZestimate"":1825']",single family,[],"2017 $4,252 +14% $163,100 +3%","$397,778 (+2.9 %)"
,portland,97206,3.0,,888,1965,300000,"['""zestimate"":320297']","['""rentZestimate"":1750']",single family,[],"2017 $3,065 +14% $117,450 +3%","$339,227 (+5.9 %)"
,portland,97219,3.0,2.0,1375,1932,275000,"['""zestimate"":388274']","['""rentZestimate"":1895']",single family,[],"2017 $3,713 +14% $142,410 +3%","+$9,047 (+2.4 %)"
,portland,97236,3.0,3.0,1250,2004,219900,"['""zestimate"":228718']","['""rentZestimate"":1500']",townhouse,[],"2017 $2,933 +6.6% $131,890 +3%","$246,947 (+8.0 %)"
,portland,97219,4.0,4.0,2065,2018,499900,"['""zestimate"":534858']",[],single family,[],"2017 $4,213 -- $51,040 --","-$1,362 (-0.3 %)"
,portland,97213,3.0,2.0,2047,1910,495000,"['""zestimate"":526450']","['""rentZestimate"":2200']",single family,[],"2017 $4,120 +14% $157,880 +3%","$516,290 (-1.9 %)"
,portland,97216,3.0,,1040,1960,318000,"['""zestimate"":316604']","['""rentZestimate"":1650']",single family,[],"2017 $2,991 +6.6% $134,480 +3%","$336,993 (+6.4 %)"
,portland,97219,2.0,,1154,1941,380000,"['""zestimate"":380948']","['""rentZestimate"":1880']",single family,[],"2017 $3,878 +14% $148,720 +3%","$411,195 (+7.9 %)"
,portland,97266,4.0,2.0,1544,1991,344950,"['""zestimate"":346886']","['""rentZestimate"":1950']",single family,[],"2017 $4,561 +27.2% $174,780 +3%","+$6,738 (+2.0 %)"
,portland,97218,3.0,2.0,1009,1940,325000,"['""zestimate"":338367']","['""rentZestimate"":1690']",single family,[],"2017 $2,593 +14% $99,350 +3%","$363,542 (+7.4 %)"
,portland,97229,3.0,3.0,1744,2019,489990,"['""zestimate"":509237']","['""rentZestimate"":2100']",single family,"['HOA Fee"",""factValue"":""$100']",,Unavailable
,portland,97220,3.0,2.0,1316,1948,399900,"['""zestimate"":380167']","['""rentZestimate"":1895']",single family,[],"2017 $3,283 +14% $125,810 +3%","$408,147 (+7.4 %)"
,portland,97206,2.0,,704,1952,269900,"['""zestimate"":272092']","['""rentZestimate"":1495']",single family,[],"2017 $2,550 +14% $97,700 +3%","$287,084 (+5.5 %)"
,portland,97206,2.0,,1044,1910,335000,"['""zestimate"":355530']","['""rentZestimate"":1795']",single family,[],"2017 $3,878 +14% $148,610 +3%","$361,716 (+1.7 %)"
,portland,97206,3.0,2.0,1289,2003,,"['""zestimate"":316204']","['""rentZestimate"":1795']",single family,[],"2017 $4,250 +14% $162,850 +3%",+$550 (+0.2 %)
,portland,97217,3.0,2.0,2150,1906,499900,"['""zestimate"":501834']","['""rentZestimate"":1995']",single family,[],"2017 $1,307 +14% $50,070 +3%","+$3,095 (+0.6 %)"
,portland,97219,3.0,2.0,1852,1979,469000,"['""zestimate"":466949']","['""rentZestimate"":2050']",single family,[],"2017 $6,472 +14% $248,250 +3%","$462,560 (-0.9 %)"
,portland,97217,3.0,2.0,1824,1954,459000,"['""zestimate"":489095']","['""rentZestimate"":2295']",single family,[],"2017 $4,119 +14% $157,830 +3%","+$2,558 (+0.5 %)"
,portland,97266,2.0,,832,1955,329000,"['""zestimate"":305979']","['""rentZestimate"":1495']",single family,[],"2017 $2,712 +6.6% $121,940 +3%","+$5,750 (+1.9 %)"
,portland,97201,3.0,2.0,1800,1889,500000,"['""zestimate"":513987']","['""rentZestimate"":1500']",multi family,[],"2017 $7,054 +14% $270,550 +3%","+$36,635 (+7.7 %)"
,portland,97206,2.0,,1522,1907,349900,"['""zestimate"":359585']","['""rentZestimate"":1700']",single family,[],"2017 $3,196 +14% $122,480 +3%","$388,316 (+8.0 %)"
,portland,97236,3.0,2.0,1320,1981,321000,"['""zestimate"":320996']","['""rentZestimate"":1750']",single family,[],"2017 $3,867 +11.6% $176,180 +3%","$351,940 (+9.6 %)"
,portland,97219,4.0,2.0,1824,1980,475000,"['""zestimate"":465848']","['""rentZestimate"":2066']",single family,[],"2017 $6,368 +14% $244,230 +3%","$477,727 (+2.5 %)"
,portland,97230,3.0,3.0,1258,1985,279900,"['""zestimate"":296350']","['""rentZestimate"":1795']",single family,[],"2017 $3,853 +10.8% $172,800 +3%","$322,992 (+9.0 %)"
,portland,97203,2.0,,720,1919,285000,"['""zestimate"":314115']","['""rentZestimate"":1450']",single family,[],"2017 $2,909 +14% $111,470 +3%","$327,528 (+4.3 %)"
,portland,97215,2.0,,1222,1925,474900,"['""zestimate"":460233']","['""rentZestimate"":1655']",single family,[],"2017 $2,866 +14% $109,820 +3%","+$56,645 (+14.0 %)"
,portland,97217,2.0,,--,1923,300000,"['""zestimate"":325999']","['""rentZestimate"":1805']",single family,[],"2017 $3,335 +14% $127,780 +3%","$319,349 (-2.0 %)"
,portland,97211,3.0,2.0,1350,1997,394500,"['""zestimate"":400751']","['""rentZestimate"":2095']",single family,[],"2017 $4,119 +14% $157,840 +3%","$391,333 (-2.4 %)"
,portland,97230,3.0,,1302,1955,275000,"['""zestimate"":291270']","['""rentZestimate"":1795']",single family,[],"2017 $3,514 +8.9% $161,120 +3%","+$3,806 (+1.3 %)"
,portland,97211,2.0,,1629,1941,437000,"['""zestimate"":456636']","['""rentZestimate"":1850']",single family,[],"2017 $3,917 +30.7% $150,090 +18.1%","$454,490 (-0.5 %)"
,portland,97266,4.0,2.0,1612,1962,389000,"['""zestimate"":353145']","['""rentZestimate"":1895']",single family,[],"2017 $3,967 +14% $152,020 +3%","+$2,226 (+0.6 %)"
,portland,97233,4.0,2.0,1296,1968,299900,"['""zestimate"":303232']","['""rentZestimate"":1795']",single family,[],"2017 $3,611 +7.6% $164,520 +3%","-$1,702 (-0.6 %)"
,portland,97266,4.0,3.0,1923,2018,440000,"['""zestimate"":403194']","['""rentZestimate"":2100']",single family,[],,"+$5,214 (+1.3 %)"
,portland,97206,3.0,,996,1971,325000,"['""zestimate"":330784']","['""rentZestimate"":1750']",single family,[],"2017 $3,081 +14% $118,040 +3%","-$4,742 (-1.4 %)"
,portland,97266,4.0,3.0,2184,1939,450000,"['""zestimate"":435068']","['""rentZestimate"":1995']",single family,[],"2017 $5,869 +14% $224,870 +3%","$470,439 (+8.1 %)"
,portland,97206,2.0,2.0,1009,1922,469900,"['""zestimate"":420581']","['""rentZestimate"":1595']",single family,[],"2017 $4,930 +14% $188,910 +3%",Unavailable
,portland,97202,2.0,,1849,1946,430000,"['""zestimate"":442549']","['""rentZestimate"":1995']",single family,[],"2017 $5,780 +14% $221,480 +3%","$441,089 (-0.3 %)"
,portland,97203,2.0,2.0,1328,2004,325000,"['""zestimate"":333061']","['""rentZestimate"":1850']",single family,[],"2017 $3,326 +14% $127,460 +3%","-$24,463 (-6.8 %)"
,portland,97239,2.0,,943,1965,214900,"['""zestimate"":221640']","['""rentZestimate"":1395']",condo,[],"2017 $2,807 +14% $107,660 +3%","$240,280 (+8.4 %)"
,portland,97212,2.0,,1524,1926,495000,"['""zestimate"":495965']","['""rentZestimate"":2150']",single family,[],"2017 $5,146 +14% $197,200 +3%","$528,451 (+6.6 %)"
,portland,97239,2.0,1.1,1184,2000,355000,"['""zestimate"":382286']","['""rentZestimate"":1750']",single family,[],"2017 $6,016 +14% $230,730 +3%",+$792 (+0.2 %)
,portland,97206,3.0,2.0,1496,2018,404500,"['""zestimate"":404797']",[],townhouse,"['HOA Fee"",""factValue"":""$50']","2017 $2,632 -- $40,660 --","+$2,458 (+0.6 %)"
,portland,97220,3.0,3.0,1568,2015,338000,"['""zestimate"":333376']","['""rentZestimate"":1799']",single family,[],"2017 $3,141 +7.5% $144,020 +3%",+$295 (+0.1 %)
,portland,97266,3.0,2.0,1040,1998,317000,"['""zestimate"":317975']","['""rentZestimate"":1650']",single family,[],"2017 $3,241 +14% $124,200 +3%","$331,012 (+4.1 %)"
,portland,97236,3.0,2.1,1490,2008,262000,"['""zestimate"":269126']","['""rentZestimate"":1595']",condo,[],,Unavailable
,portland,97202,3.0,3.0,1740,1994,430000,"['""zestimate"":439539']","['""rentZestimate"":2100']",single family,[],"2017 $7,115 +15.2% $272,630 +3%","$440,638 (+0.3 %)"
,portland,97214,3.0,2.0,2228,1906,425000,"['""zestimate"":439923']","['""rentZestimate"":2025']",single family,[],"2017 $3,339 +14% $127,960 +3%","$433,852 (-1.4 %)"
,portland,97202,3.0,,960,1975,365000,"['""zestimate"":354312']","['""rentZestimate"":1725']",single family,[],"2017 $3,267 +14% $125,190 +3%","$359,308 (+1.4 %)"
,portland,97203,3.0,2.0,1716,1965,359900,"['""zestimate"":384796']","['""rentZestimate"":1495']",single family,[],"2017 $45 +8.6% $2,460 +2.9%","+$1,322 (+0.3 %)"
,portland,97220,2.0,,856,1927,249900,"['""zestimate"":254842']","['""rentZestimate"":1500']",single family,[],"2017 $1,775 +7.5% $81,390 +3%","-$7,116 (-2.7 %)"
,portland,97220,3.0,3.0,2888,1957,374900,"['""zestimate"":393342']","['""rentZestimate"":2095']",single family,[],"2017 $4,921 +14% $188,580 +3%","$413,206 (+5.1 %)"
,portland,97206,5.0,3.0,2258,1969,375000,"['""zestimate"":387183']","['""rentZestimate"":1990']",single family,[],"2017 $4,276 +14% $163,850 +3%","+$1,567 (+0.4 %)"
,portland,97219,3.0,,960,1971,368500,"['""zestimate"":372021']","['""rentZestimate"":1829']",single family,[],"2017 $4,408 +14% $169,080 +3%","$375,853 (+1.0 %)"
,portland,97211,3.0,,1553,1910,449900,"['""zestimate"":453462']","['""rentZestimate"":2100']",single family,[],"2017 $4,352 +14% $166,750 +3%","-$14,048 (-3.0 %)"
,portland,97220,3.0,2.0,1626,1984,349000,"['""zestimate"":357229']","['""rentZestimate"":1949']",single family,[],"2017 $4,464 +7.5% $204,670 +3%","$367,053 (+2.8 %)"
,portland,97233,3.0,2.0,1069,1987,304990,"['""zestimate"":313085']","['""rentZestimate"":1495']",single family,[],"2017 $2,261 +8.8% $101,390 +3%","$344,174 (+9.9 %)"
,portland,97220,3.0,,965,1925,309997,"['""zestimate"":318265']","['""rentZestimate"":1549']",single family,[],"2017 $2,003 +6.6% $90,080 +3%","+$1,839 (+0.6 %)"
,portland,97219,3.0,2.0,1744,1970,379900,"['""zestimate"":448417']","['""rentZestimate"":1945']",single family,[],"2017 $5,472 +14% $209,880 +3%","$449,717 (+0.3 %)"
,portland,97219,3.0,,960,1969,359900,"['""zestimate"":361857']","['""rentZestimate"":1800']",single family,[],"2017 $4,540 +14% $174,120 +3%","$370,433 (+2.4 %)"
,portland,97203,3.0,,1160,1954,348000,"['""zestimate"":350994']","['""rentZestimate"":1795']",single family,[],"2017 $3,101 +14% $118,840 +3%","$368,614 (+5.0 %)"
,portland,97220,4.0,2.0,2172,1964,415000,"['""zestimate"":418363']","['""rentZestimate"":2115']",single family,[],"2017 $4,953 +14% $189,780 +3%","$432,880 (+3.5 %)"
,portland,97219,2.0,3.0,1616,2011,399000,"['""zestimate"":405670']","['""rentZestimate"":1995']",single family,[],"2017 $6,058 +14% $232,340 +3%","$395,893 (-2.4 %)"
,portland,97266,3.0,,1032,1964,285000,"['""zestimate"":285051']","['""rentZestimate"":1695']",single family,[],"2017 $3,284 +14% $125,820 +3%","$301,128 (+5.6 %)"
,portland,97220,4.0,2.0,2288,1954,410000,"['""zestimate"":399583']","['""rentZestimate"":2095']",single family,[],"2017 $4,756 +6.6% $213,860 +3%","$433,867 (+8.6 %)"
,portland,97220,3.0,,1276,1954,299900,"['""zestimate"":301460']","['""rentZestimate"":1600']",single family,[],"2017 $2,745 +7.5% $125,840 +3%",+$850 (+0.3 %)
,portland,97219,4.0,2.0,2500,1974,399500,"['""zestimate"":458758']","['""rentZestimate"":2098']",single family,[],"2017 $6,822 +18.1% $252,620 +3%","$451,188 (-1.7 %)"
,portland,97227,4.0,,1512,1900,469500,"['""zestimate"":465045']","['""rentZestimate"":2000']",single family,[],"2017 $3,081 +14% $118,040 +3%","$462,069 (-0.6 %)"
,portland,97213,2.0,,2015,1939,350000,"['""zestimate"":378081']","['""rentZestimate"":1895']",single family,[],"2017 $3,747 +14% $143,560 +3%",+$951 (+0.3 %)
,portland,97219,3.0,3.0,1549,2012,399900,"['""zestimate"":411878']","['""rentZestimate"":1995']",townhouse,[],"2017 $5,182 +14% $198,770 +3%","-$19,729 (-4.6 %)"
,portland,97213,4.0,,2174,1945,474900,"['""zestimate"":522547']","['""rentZestimate"":2200']",single family,[],"2017 $5,100 +14% $195,400 +3%","-$10,016 (-1.9 %)"
,portland,97211,2.0,,1564,1942,449900,"['""zestimate"":446513']","['""rentZestimate"":1895']",single family,[],"2017 $3,827 +14% $146,640 +3%","+$2,477 (+0.6 %)"
