address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec
,portland,97203,3.0,,2031,1925,424900,"['""zestimate"":418741']","['""rentZestimate"":1895']",single family,[],"2017 $2,844 +14% $108,970 +3%","$460,866 (+10.1 %)"
,portland,97203,4.0,,2184,1893,350000,"['""zestimate"":320777']","['""rentZestimate"":1995']",single family,[],"2017 $3,547 +14% $135,900 +3%","$319,590 (-0.4 %)"
,portland,97203,3.0,,1416,1962,379900,"['""zestimate"":381828']","['""rentZestimate"":1795']",single family,[],"2017 $3,104 +14% $118,920 +3%","$420,622 (+10.2 %)"
,portland,97236,3.0,,864,1963,299900,"['""zestimate"":268574']","['""rentZestimate"":1595']",single family,[],"2017 $3,070 +6.6% $138,020 +3%","$295,915 (+10.2 %)"
,portland,97217,3.0,3.0,1635,2018,495000,"['""zestimate"":522058']","['""rentZestimate"":2200']",townhouse,[],,"+$1,937 (+0.4 %)"
,portland,97215,2.0,2.0,2300,1926,479900,"['""zestimate"":669591']","['""rentZestimate"":2583']",single family,[],"2017 $6,509 +14% $249,420 +3%","+$77,008 (+13.0 %)"
,portland,97266,3.0,,1444,1908,372900,"['""zestimate"":356755']","['""rentZestimate"":1600']",single family,[],"2017 $2,113 -23.3% $80,980 -30.7%",+$649 (+0.2 %)
,portland,97203,3.0,,888,1962,345000,"['""zestimate"":348330']","['""rentZestimate"":1700']",single family,[],"2017 $2,499 +14% $95,750 +3%","$348,086 (-0.1 %)"
,portland,97219,3.0,3.0,1968,1997,489000,"['""zestimate"":499517']","['""rentZestimate"":1895']",townhouse,[],,"$505,911 (+1.3 %)"
,portland,97266,3.0,2.0,1294,1998,176000,"['""zestimate"":216339']","['""rentZestimate"":1595']",townhouse,[],"2017 $3,081 +13.7% $138,520 +3%","+$1,670 (+0.8 %)"
,portland,97206,4.0,2.0,3860,1970,500000,"['""zestimate"":527510']","['""rentZestimate"":1995']",single family,[],"2017 $6,101 +14% $233,790 +3%","$563,328 (+6.8 %)"
,portland,97219,3.0,3.0,2012,1991,470000,"['""zestimate"":464261']","['""rentZestimate"":2250']",single family,[],"2017 $7,715 +25.6% $315,980 +3%","$465,932 (+0.4 %)"
,portland,97217,3.0,2.0,1932,1920,429950,"['""zestimate"":445203']","['""rentZestimate"":2025']",single family,[],"2017 $3,887 +14% $148,930 +3%","$483,579 (+8.6 %)"
,portland,97236,5.0,2.0,2200,1956,359900,"['""zestimate"":365346']","['""rentZestimate"":1849']",single family,[],"2017 $4,089 +7.6% $186,290 +3%","$380,033 (+4.0 %)"
,portland,97206,2.0,2.0,900,1950,339000,"['""zestimate"":336854']","['""rentZestimate"":1495']",single family,[],"2017 $2,406 +14% $92,180 +3%","$355,549 (+5.5 %)"
,portland,97218,3.0,2.0,2260,1949,325000,[],"['""rentZestimate"":1785']",single family,[],"2017 $4,717 +9.3% $188,580 +3%",Unavailable
,portland,97229,,,,,464990,"['""zestimate"":466820']",[],"thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm, saturday - monday 11:00am - 5:30pm",[],,Unavailable
,portland,97236,3.0,,946,1965,289900,"['""zestimate"":291843']","['""rentZestimate"":1650']",single family,[],"2017 $2,418 +6.6% $108,720 +3%","$319,977 (+9.6 %)"
,portland,97236,4.0,2.0,1241,1942,310000,"['""zestimate"":303340']","['""rentZestimate"":1375']",multi family,[],"2017 $2,578 +6.6% $115,920 +3%","$326,091 (+7.5 %)"
,portland,97266,4.0,2.0,1508,1951,330000,"['""zestimate"":330401']","['""rentZestimate"":1795']",single family,[],"2017 $3,695 +6.6% $166,140 +3%","$352,769 (+6.8 %)"
,portland,97211,3.0,,1900,1944,499000,"['""zestimate"":504503']","['""rentZestimate"":1995']",single family,[],"2017 $4,018 +14% $153,950 +3%","+$56,729 (+12.7 %)"
,portland,97236,4.0,3.0,1799,2003,359440,"['""zestimate"":359034']","['""rentZestimate"":1953']",single family,[],"2017 $3,383 +6.6% $152,130 +3%","$391,024 (+8.9 %)"
,portland,97217,4.0,2.0,2358,1952,487000,"['""zestimate"":517512']","['""rentZestimate"":2315']",single family,[],"2017 $3,762 +14% $144,170 +3%","+$3,290 (+0.6 %)"
,portland,97206,2.0,,690,1949,299500,"['""zestimate"":295132']","['""rentZestimate"":1525']",single family,[],"2017 $2,728 +14% $104,540 +3%","+$13,470 (+4.8 %)"
,portland,97211,2.0,3.0,1778,2012,449500,"['""zestimate"":470976']","['""rentZestimate"":1995']",single family,[],"2017 $2,037 +14% $78,060 +3%","$484,069 (+2.8 %)"
,portland,97203,3.0,2.0,2696,1910,459000,"['""zestimate"":444172']","['""rentZestimate"":1995']",single family,[],"2017 $3,671 +14% $140,650 +3%","-$9,891 (-2.2 %)"
,portland,97206,4.0,,1299,1902,279000,"['""zestimate"":276397']","['""rentZestimate"":1700']",single family,[],"2017 $2,606 +14% $99,860 +3%","$298,232 (+7.9 %)"
,portland,97206,2.0,2.0,1244,1932,299999,"['""zestimate"":338454']","['""rentZestimate"":1795']",single family,[],"2017 $3,449 +31.1% $114,890 +3%","-$3,434 (-1.0 %)"
,portland,97236,4.0,3.0,2683,1999,499900,"['""zestimate"":449651']","['""rentZestimate"":2250']",single family,"['HOA Fee"",""factValue"":""$26']","2017 $6,453 +13.6% $295,910 +3%","$445,559 (-0.9 %)"
,portland,97216,4.0,3.0,1692,2018,389000,[],[],single family,[],,Unavailable
,portland,97213,3.0,2.0,1656,1927,485000,[],"['""rentZestimate"":1850']",single family,[],"2017 $5,032 +33.6% $192,820 +20.7%",Unavailable
,portland,97206,3.0,2.0,1230,1947,,"['""zestimate"":332501']","['""rentZestimate"":1795']",single family,[],"2017 $3,318 +14% $127,130 +3%",-$300 (-0.1 %)
,portland,97220,2.0,,741,2004,188888,"['""zestimate"":182775']","['""rentZestimate"":1230']",apartment,[],"2017 $1,916 +6.6% $86,130 +3%",+$601 (+0.3 %)
,portland,97206,3.0,2.0,1118,1957,335500,"['""zestimate"":334910']","['""rentZestimate"":1795']",single family,[],"2017 $3,148 +14% $120,640 +3%","+$38,579 (+13.0 %)"
,portland,97266,2.0,1.1,896,1985,189900,"['""zestimate"":201356']","['""rentZestimate"":1450']",single family,[],"2017 $2,134 +6.6% $95,970 +3%","+$15,762 (+8.5 %)"
,portland,97203,2.0,,1130,1905,389900,"['""zestimate"":394210']","['""rentZestimate"":1795']",single family,[],"2017 $2,903 +14% $111,220 +3%","+$1,387 (+0.4 %)"
,portland,97236,2.0,,1023,1950,257960,"['""zestimate"":262332']","['""rentZestimate"":1540']",single family,[],"2017 $2,578 +7.6% $117,450 +3%","$276,445 (+5.4 %)"
,portland,97236,,,,,481750,"['""zestimate"":455138']","['""rentZestimate"":2150']",mon 11-5 ; tue 11-5 ; wed by appt ; thu by appt ; fri 12-5 ; sat 11-5 ; sun 11-5,[],,"-$2,071 (-0.5 %)"
,portland,97233,3.0,3.0,1568,2019,339900,"['""zestimate"":305361']","['""rentZestimate"":1650']",condo,[],,Unavailable
,portland,97206,3.0,2.0,1978,1912,479000,"['""zestimate"":436809']","['""rentZestimate"":1995']",single family,[],"2017 $3,522 +14% $134,970 +3%","$437,115 (+0.1 %)"
,portland,97203,3.0,3.0,1576,2006,379900,"['""zestimate"":387287']","['""rentZestimate"":1995']",single family,[],"2017 $4,769 +14% $182,740 +3%",-$496 (-0.1 %)
,portland,97202,2.0,,1840,1909,499950,"['""zestimate"":505259']","['""rentZestimate"":1900']",single family,[],"2017 $3,238 +14% $124,070 +3%","$495,154 (-2.0 %)"
,portland,97219,3.0,3.0,1644,1990,465000,"['""zestimate"":458593']","['""rentZestimate"":2095']",single family,[],"2017 $6,774 +14% $259,810 +3%","-$1,665 (-0.4 %)"
,portland,97213,2.0,,792,1925,347900,"['""zestimate"":353488']","['""rentZestimate"":1595']",single family,[],"2017 $2,427 +14% $93,000 +3%","$348,080 (-1.5 %)"
,portland,97218,3.0,3.0,1710,2016,429900,"['""zestimate"":425668']","['""rentZestimate"":1950']",single family,[],"2017 $6,396 +14% $245,080 +3%","+$1,668 (+0.4 %)"
,portland,97233,3.0,,912,1965,299000,"['""zestimate"":288216']","['""rentZestimate"":1650']",single family,[],"2017 $3,063 +8.6% $137,710 +3%",+$563 (+0.2 %)
,portland,97236,3.0,3.0,1818,2001,390000,"['""zestimate"":396907']","['""rentZestimate"":2195']",single family,[],"2017 $4,738 +6.6% $213,040 +3%","$429,533 (+8.2 %)"
,portland,97211,3.0,,1400,1911,449500,"['""zestimate"":454238']","['""rentZestimate"":2100']",single family,[],"2017 $1,278 +14% $48,960 +3%","+$16,463 (+3.8 %)"
,portland,97206,,,,,499999,"['""zestimate"":597636']","['""rentZestimate"":1950']",m: 7:00 am-7:00 pm; tu: 7:00 am-7:00 pm; w: 7:00 am-7:00 pm; th: 7:00 am-7:00 pm; f: 7:00 am-7:00 pm;,[],,"-$112,228 (-15.8 %)"
,portland,97236,3.0,3.0,1559,2008,289950,"['""zestimate"":283900']","['""rentZestimate"":1625']",townhouse,[],"2017 $3,095 +6.6% $139,140 +3%","+$6,630 (+2.4 %)"
,portland,97230,2.0,2.0,1469,1992,369000,"['""zestimate"":358940']","['""rentZestimate"":1895']",single family,"['HOA Fee"",""factValue"":""$27']","2017 $5,265 +18.4% $236,120 +3%","$368,847 (+2.8 %)"
,portland,97236,4.0,2.0,1802,1968,320000,"['""zestimate"":330259']","['""rentZestimate"":1800']",single family,[],"2017 $4,219 +6.6% $189,710 +3%","$353,773 (+7.1 %)"
,portland,97230,2.0,,1355,1951,269000,"['""zestimate"":275327']","['""rentZestimate"":1795']",single family,[],"2017 $3,533 +7.5% $161,970 +3%","-$11,041 (-3.9 %)"
,portland,97233,3.0,,882,1961,,"['""zestimate"":291789']","['""rentZestimate"":1650']",single family,[],"2017 $5,108 +18.6% $131,860 +3%","$319,538 (+9.5 %)"
,portland,97233,4.0,2.0,1716,1956,299900,"['""zestimate"":295425']","['""rentZestimate"":1750']",single family,[],"2017 $3,275 +7.6% $149,220 +3%",+$965 (+0.3 %)
,portland,97206,3.0,2.0,1008,1953,337500,"['""zestimate"":324750']","['""rentZestimate"":1595']",single family,[],"2017 $1,676 +14% $64,240 +3%","+$98,948 (+43.8 %)"
,portland,97266,3.0,3.0,1544,2018,389000,"['""zestimate"":334741']",[],condo,[],,Unavailable
,portland,97217,4.0,2.0,2013,1943,449900,"['""zestimate"":454475']","['""rentZestimate"":2195']",single family,[],"2017 $3,714 +14% $142,320 +3%","+$5,242 (+1.2 %)"
,portland,97236,3.0,,912,1963,299900,"['""zestimate"":285125']","['""rentZestimate"":1650']",single family,[],"2017 $2,986 +7.6% $136,040 +3%","$312,155 (+9.5 %)"
,portland,97203,3.0,2.0,2228,1954,499000,"['""zestimate"":526468']","['""rentZestimate"":2595']",single family,[],"2017 $3,630 +26.7% $139,100 +14.4%","$513,043 (-2.6 %)"
,portland,97266,4.0,3.0,1608,1997,399000,"['""zestimate"":367732']","['""rentZestimate"":1950']",single family,[],"2017 $5,415 +36.6% $207,500 +12.8%","$383,544 (+4.3 %)"
,portland,97236,3.0,,1334,1956,289500,"['""zestimate"":283253']","['""rentZestimate"":1695']",single family,[],"2017 $3,063 +6.6% $137,710 +3%","+$22,956 (+8.8 %)"
,portland,97229,3.0,3.0,1397,2019,449990,"['""zestimate"":458378']",[],single family,"['HOA Fee"",""factValue"":""$100']",,Unavailable
,portland,97230,3.0,2.0,1430,1973,308000,"['""zestimate"":323964']","['""rentZestimate"":1800']",single family,[],"2017 $3,955 +8.8% $177,350 +3%","+$3,536 (+1.1 %)"
,portland,97215,3.0,,923,1951,429000,"['""zestimate"":418376']","['""rentZestimate"":1795']",single family,[],"2017 $4,050 +20.4% $155,170 +8.7%","$446,198 (+6.6 %)"
,portland,97213,2.0,,1792,1924,379900,"['""zestimate"":460967']","['""rentZestimate"":1895']",single family,[],"2017 $2,683 +14% $102,790 +3%","+$40,690 (+9.7 %)"
,portland,97206,4.0,3.0,1890,1916,419900,"['""zestimate"":426971']","['""rentZestimate"":1930']",single family,[],"2017 $5,049 +14% $193,480 +3%","$436,194 (+2.2 %)"
,portland,97203,3.0,3.0,1793,2007,369000,"['""zestimate"":374026']","['""rentZestimate"":1995']",single family,"['HOA Fee"",""factValue"":""$98']","2017 $4,529 +14% $173,540 +3%","$408,736 (+9.3 %)"
,portland,97213,3.0,2.0,2412,1949,419900,"['""zestimate"":478564']","['""rentZestimate"":2150']",single family,[],"2017 $4,960 +14% $190,070 +3%",+$486 (+0.1 %)
,portland,97220,3.0,,960,1955,319900,"['""zestimate"":325726']","['""rentZestimate"":1650']",single family,[],"2017 $3,071 +14% $117,680 +3%","$352,468 (+8.2 %)"
,portland,97233,3.0,,2000,1956,334900,"['""zestimate"":333536']","['""rentZestimate"":1895']",single family,[],"2017 $3,776 +6.6% $169,770 +3%","$358,918 (+7.6 %)"
,portland,97213,3.0,,1336,1926,499000,"['""zestimate"":432334']","['""rentZestimate"":1995']",single family,[],"2017 $4,086 +14% $156,580 +3%","+$10,414 (+2.5 %)"
,portland,97212,2.0,,1656,1908,454950,"['""zestimate"":472974']","['""rentZestimate"":1950']",single family,[],"2017 $2,227 +14% $85,320 +3%","+$6,393 (+1.4 %)"
,portland,97230,4.0,3.0,2672,1962,415000,"['""zestimate"":406743']","['""rentZestimate"":1950']",single family,[],"2017 $4,368 +6.6% $196,410 +3%","+$47,396 (+13.2 %)"
,portland,97233,3.0,2.0,1516,1967,330000,"['""zestimate"":330689']","['""rentZestimate"":1875']",single family,[],"2017 $4,081 +7.6% $185,920 +3%","$363,295 (+9.9 %)"
,portland,97230,3.0,2.0,1402,1975,339500,"['""zestimate"":341891']","['""rentZestimate"":1900']",single family,[],"2017 $3,961 +7.5% $181,600 +3%","$376,525 (+10.1 %)"
,portland,97266,3.0,2.0,1834,1953,349000,"['""zestimate"":342806']","['""rentZestimate"":1850']",single family,[],"2017 $3,542 +6.6% $159,260 +3%","$361,352 (+5.4 %)"
,portland,97266,3.0,2.0,2054,1912,412900,"['""zestimate"":401005']","['""rentZestimate"":1850']",single family,[],"2017 $3,501 +14% $134,140 +3%","$425,867 (+6.2 %)"
,portland,97219,3.0,3.0,1594,2014,449900,"['""zestimate"":431121']","['""rentZestimate"":1995']",townhouse,[],"2017 $6,642 +14.6% $254,760 +3%","$428,189 (-0.7 %)"
,portland,97217,3.0,,1039,1951,349000,"['""zestimate"":356436']","['""rentZestimate"":1895']",single family,[],"2017 $2,725 +14% $104,410 +3%","$357,612 (+0.3 %)"
,portland,97233,3.0,2.0,1349,1949,319900,"['""zestimate"":313683']","['""rentZestimate"":1645']",single family,[],"2017 $2,729 +6.6% $122,710 +3%","$329,744 (+5.1 %)"
,portland,97233,3.0,2.0,1130,1963,324900,"['""zestimate"":322116']","['""rentZestimate"":1750']",single family,[],"2017 $3,152 +7.6% $143,580 +3%","$352,556 (+9.5 %)"
,portland,97216,5.0,,3360,1925,340000,"['""zestimate"":348196']","['""rentZestimate"":1995']",single family,[],"2017 $4,332 +9.3% $194,770 +3%","-$37,285 (-9.7 %)"
,portland,97266,4.0,2.0,2192,1954,289999,[],"['""rentZestimate"":1875']",single family,[],"2017 $4,441 +2.7% $207,340 +3%",Unavailable
,portland,97220,3.0,2.0,2240,1927,425000,"['""zestimate"":404782']","['""rentZestimate"":1895']",single family,[],"2017 $2,904 +6.6% $130,570 +3%","$419,799 (+3.7 %)"
,portland,97233,3.0,,1176,1972,279900,"['""zestimate"":288598']","['""rentZestimate"":1650']",single family,[],"2017 $2,983 +7.6% $135,890 +3%","$311,051 (+7.8 %)"
,portland,97236,4.0,3.0,1838,1976,324000,"['""zestimate"":351876']","['""rentZestimate"":1895']",single family,[],"2017 $4,778 +12.8% $217,650 +3%","$358,175 (+1.8 %)"
,portland,97206,2.0,,1936,1949,424900,"['""zestimate"":450950']","['""rentZestimate"":1895']",single family,[],"2017 $4,025 +14% $154,250 +3%","$457,038 (+1.4 %)"
,portland,97220,4.0,2.0,2408,1951,439900,"['""zestimate"":411652']","['""rentZestimate"":1995']",single family,[],"2017 $4,075 +6.6% $183,240 +3%","$425,031 (+3.3 %)"
,portland,97206,3.0,,937,1963,285000,"['""zestimate"":292283']","['""rentZestimate"":1750']",single family,[],"2017 $2,928 +14% $112,190 +3%","$320,810 (+9.8 %)"
,portland,97206,3.0,,936,1954,325000,[],"['""rentZestimate"":1600']",single family,[],"2016 $2,762 -- $117,130 +3%",Unavailable
,portland,97206,2.0,,1726,1923,399999,"['""zestimate"":453006']","['""rentZestimate"":1875']",single family,[],"2017 $4,323 +14% $165,660 +3%","$477,514 (+5.4 %)"
,portland,97266,3.0,2.0,1654,1949,335000,"['""zestimate"":342894']","['""rentZestimate"":1925']",single family,[],"2017 $4,037 +9.2% $181,510 +3%","$364,805 (+6.4 %)"
,portland,97230,2.0,2.0,1572,1979,325000,"['""zestimate"":328271']","['""rentZestimate"":1849']",single family,"['HOA Fee"",""factValue"":""$60']","2017 $4,352 +8.8% $195,200 +3%","$340,384 (+3.7 %)"
,portland,97213,3.0,2.0,1400,1950,449900,"['""zestimate"":453035']","['""rentZestimate"":1550']",multi family,[],"2017 $3,606 +14% $138,190 +3%","-$17,675 (-3.8 %)"
,portland,97216,5.0,2.0,2686,1958,475000,"['""zestimate"":444441']","['""rentZestimate"":1995']",single family,[],"2017 $5,188 +6.6% $233,280 +3%","$446,530 (+0.5 %)"
,portland,97230,3.0,3.0,2856,1955,475000,"['""zestimate"":466557']","['""rentZestimate"":2250']",single family,[],"2017 $6,220 +7.5% $285,140 +3%","$489,605 (+4.9 %)"
,portland,97203,3.0,2.0,2453,1912,450000,"['""zestimate"":450534']","['""rentZestimate"":2240']",single family,[],"2017 $4,844 +14% $185,610 +3%","$461,887 (+2.5 %)"
,portland,97211,3.0,,880,1981,349000,"['""zestimate"":334340']","['""rentZestimate"":1680']",single family,[],"2017 $3,084 +14% $118,190 +3%","$357,777 (+7.0 %)"
,portland,97230,5.0,2.1,1892,1966,389900,"['""zestimate"":389250']","['""rentZestimate"":2095']",single family,[],"2017 $4,603 +12.9% $211,030 +3%","$407,428 (+4.7 %)"
,portland,97206,4.0,3.0,1676,2007,372000,"['""zestimate"":365128']","['""rentZestimate"":1850']",single family,[],"2017 $4,540 +263.3% $54,600 +3%","$388,642 (+6.4 %)"
,portland,97216,4.0,3.0,3089,1930,475000,"['""zestimate"":463980']","['""rentZestimate"":1995']",single family,[],"2017 $5,117 +14% $196,060 +3%","$467,877 (+0.8 %)"
,portland,97203,3.0,,960,1972,325000,"['""zestimate"":341839']","['""rentZestimate"":1695']",single family,[],"2017 $3,098 +14% $118,700 +3%","$337,293 (-1.3 %)"
,portland,97233,3.0,2.0,1781,1951,319995,"['""zestimate"":323501']","['""rentZestimate"":1695']",single family,[],"2017 $3,263 +6.6% $146,710 +3%","$353,360 (+9.2 %)"
,portland,97236,3.0,2.0,1524,2000,262000,"['""zestimate"":259400']","['""rentZestimate"":1680']",condo,[],"2017 $3,605 +21.4% $162,070 +3%","$284,925 (+9.8 %)"
,portland,97215,3.0,3.0,2600,1958,485000,"['""zestimate"":505725']","['""rentZestimate"":1995']",single family,[],"2017 $5,266 +14% $201,760 +3%","$531,972 (+5.2 %)"
,portland,97206,3.0,,1540,1909,409950,"['""zestimate"":450394']","['""rentZestimate"":1900']",single family,[],"2017 $5,634 +14% $215,890 +3%","$439,945 (-2.3 %)"
,portland,97233,4.0,2.0,1850,1947,329000,"['""zestimate"":324957']","['""rentZestimate"":1795']",single family,[],"2017 $3,714 +11.5% $166,990 +3%","$345,852 (+6.4 %)"
,portland,97206,5.0,,2524,1921,459000,"['""zestimate"":488718']","['""rentZestimate"":2095']",single family,[],"2017 $4,697 +14% $179,970 +3%","$482,902 (-1.2 %)"
,portland,97220,3.0,2.0,1368,1961,360000,"['""zestimate"":366778']","['""rentZestimate"":1910']",single family,[],"2017 $4,224 +7.5% $193,640 +3%","$382,659 (+4.3 %)"
,portland,97203,4.0,2.0,2462,1944,430000,"['""zestimate"":477799']","['""rentZestimate"":2095']",single family,[],"2017 $4,272 +14% $163,700 +3%","+$4,319 (+0.9 %)"
,portland,97229,4.0,3.0,1484,2019,459990,"['""zestimate"":473371']",[],single family,"['HOA Fee"",""factValue"":""$100']",,Unavailable
,portland,97230,3.0,2.0,1265,1972,335000,"['""zestimate"":335661']","['""rentZestimate"":1775']",single family,[],"2017 $3,961 +13.7% $181,600 +3%","$365,636 (+8.9 %)"
,portland,97266,4.0,3.0,2629,1971,419900,"['""zestimate"":415183']","['""rentZestimate"":2250']",single family,[],"2017 $5,226 +10.5% $234,960 +3%","$441,672 (+6.4 %)"
,portland,97217,3.0,2.0,2068,1944,469900,"['""zestimate"":471218']","['""rentZestimate"":2150']",single family,[],"2017 $3,659 +14% $140,190 +3%","+$2,064 (+0.4 %)"
,portland,97213,3.0,,1852,1946,355000,"['""zestimate"":405770']","['""rentZestimate"":1950']",single family,[],"2017 $4,158 +14% $159,320 +3%","$413,236 (+1.8 %)"
,portland,97206,4.0,2.0,2220,1901,449500,"['""zestimate"":451922']","['""rentZestimate"":1995']",single family,[],"2017 $3,682 +23.5% $130,240 +3%","$466,835 (+3.3 %)"
,portland,97266,4.0,,1450,1950,290000,"['""zestimate"":319510']","['""rentZestimate"":1710']",single family,[],"2017 $3,517 +6.6% $158,150 +3%","$341,652 (+6.9 %)"
,portland,97220,3.0,2.0,1213,1996,305500,"['""zestimate"":308261']","['""rentZestimate"":1795']",single family,[],"2017 $3,703 +7.5% $169,780 +3%","$323,674 (+5.0 %)"
,portland,97211,3.0,2.0,1200,1922,474888,"['""zestimate"":457695']","['""rentZestimate"":1395']",single family,[],"2017 $2,927 +14% $112,160 +3%","$453,027 (-1.0 %)"
,portland,97216,4.0,3.0,2574,1966,399000,"['""zestimate"":407449']","['""rentZestimate"":2250']",single family,[],"2017 $5,308 +13.6% $238,650 +3%","$433,281 (+6.3 %)"
,portland,97217,3.0,3.0,1550,2018,410000,"['""zestimate"":432203']","['""rentZestimate"":2078']",single family,[],,Unavailable
,portland,97203,4.0,2.0,1596,1925,,"['""zestimate"":462120']","['""rentZestimate"":2200']",single family,[],"2017 $3,981 +14% $152,560 +3%","$453,756 (-1.8 %)"
,portland,97236,3.0,3.0,1186,2002,319900,"['""zestimate"":313538']","['""rentZestimate"":1689']",single family,[],"2017 $3,469 +7.7% $155,980 +3%","+$2,916 (+0.9 %)"
,portland,97216,3.0,2.0,2329,1964,379900,"['""zestimate"":381311']","['""rentZestimate"":2095']",single family,[],"2017 $3,811 +6.6% $171,370 +3%","$396,220 (+3.9 %)"
,portland,97203,3.0,3.0,1346,1997,399000,"['""zestimate"":400972']","['""rentZestimate"":1995']",single family,[],"2017 $4,902 +14% $187,820 +3%","$411,277 (+2.6 %)"
,portland,97230,3.0,3.0,2158,1995,345000,"['""zestimate"":363738']","['""rentZestimate"":1900']",single family,[],"2017 $4,909 +16.7% $227,590 +3%","$370,322 (+1.8 %)"
,portland,97213,2.0,,1492,1941,399900,"['""zestimate"":400449']","['""rentZestimate"":1895']",single family,[],"2017 $3,451 +14% $132,220 +3%","$393,561 (-1.7 %)"
,portland,97216,2.0,2.0,948,1997,260000,"['""zestimate"":278413']","['""rentZestimate"":1495']",single family,[],"2017 $3,559 +11.5% $160,000 +3%","-$18,000 (-6.1 %)"
