address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec
,portland,97220,5.0,3.0,2801,1959,389500,"['""zestimate"":401667']","['""rentZestimate"":2250']",single family,[],"2017 $4,954 +7.5% $227,120 +3%","$439,825 (+9.5 %)"
,portland,97217,2.0,2.0,2128,1925,449000,[],"['""rentZestimate"":1950']",single family,[],"2017 $4,547 +14% $174,240 +3%",Unavailable
,portland,97233,4.0,2.0,1728,1970,352900,"['""zestimate"":337357']","['""rentZestimate"":1395']",multi family,[],"2017 $3,875 +12% $173,780 +3%","-$3,389 (-1.0 %)"
,portland,97206,2.0,,807,1921,275000,"['""zestimate"":277827']","['""rentZestimate"":1500']",single family,[],"2017 $2,171 +14% $83,180 +3%","$296,608 (+6.8 %)"
,portland,97229,,,,,387995,"['""zestimate"":397908']",[],mon - sun: 10am - 5pm,[],,Unavailable
,portland,97215,3.0,,1737,1926,380000,"['""zestimate"":387544']","['""rentZestimate"":1895']",single family,[],"2017 $3,645 +14% $139,680 +3%","$390,218 (+0.7 %)"
,portland,97211,3.0,2.0,1720,2000,375000,"['""zestimate"":381243']","['""rentZestimate"":1900']",townhouse,[],"2017 $4,124 +14% $158,010 +3%","-$8,790 (-2.3 %)"
,portland,97213,8.0,3.0,3040,1910,449900,"['""zestimate"":528055']","['""rentZestimate"":2095']",single family,[],"2017 $6,019 +14% $230,640 +3%","$524,781 (-0.6 %)"
,portland,97217,3.0,3.0,1688,2005,439000,"['""zestimate"":441805']","['""rentZestimate"":2095']",single family,[],"2017 $5,015 +14% $192,170 +3%","$448,874 (+1.6 %)"
,portland,97206,3.0,3.0,1398,2000,355000,"['""zestimate"":354905']","['""rentZestimate"":1795']",single family,[],"2017 $4,255 +14% $163,050 +3%","$387,663 (+9.2 %)"
,portland,97236,6.0,3.0,3875,1948,439999,"['""zestimate"":437453']","['""rentZestimate"":1495']",multi family,[],,"+$11,639 (+2.7 %)"
,portland,97229,,,,,289990,"['""zestimate"":284843']","['""rentZestimate"":1550']","saturday - thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm",[],,Unavailable
,portland,97206,3.0,,980,1990,,"['""zestimate"":320241']","['""rentZestimate"":1720']",single family,[],"2017 $3,566 +14% $136,650 +3%","$328,215 (+2.5 %)"
,portland,97206,3.0,3.0,1502,2007,334000,"['""zestimate"":339064']","['""rentZestimate"":1850']",single family,[],"2017 $4,068 +14% $155,860 +3%","$355,780 (+4.9 %)"
,portland,97236,3.0,3.0,1144,2002,319900,"['""zestimate"":312925']","['""rentZestimate"":1695']",single family,[],"2017 $3,461 +7.7% $155,640 +3%","+$4,179 (+1.4 %)"
,portland,97220,4.0,2.0,2304,1958,365000,"['""zestimate"":374213']","['""rentZestimate"":1995']",single family,[],"2017 $3,475 +7.5% $159,320 +3%","-$1,756 (-0.5 %)"
,portland,97216,4.0,2.0,1706,1972,374500,"['""zestimate"":374833']","['""rentZestimate"":1950']",single family,[],"2017 $3,819 +14% $146,330 +3%","$394,549 (+5.3 %)"
,portland,97236,3.0,4.0,3503,1991,459947,"['""zestimate"":501754']","['""rentZestimate"":2095']",single family,"['HOA Fee"",""factValue"":""$15']","2017 $7,669 +11.7% $382,020 +3%","+$2,709 (+0.5 %)"
,portland,97233,3.0,2.0,1197,1982,323500,"['""zestimate"":312079']","['""rentZestimate"":1759']",single family,[],"2017 $3,360 +7.6% $153,050 +3%","+$11,443 (+3.8 %)"
,portland,97203,2.0,,838,1943,335000,"['""zestimate"":340114']","['""rentZestimate"":1395']",single family,[],"2017 $2,062 +14% $79,010 +3%","$341,372 (+0.4 %)"
,portland,97206,2.0,,612,1940,314995,"['""zestimate"":313850']","['""rentZestimate"":1595']",single family,[],"2017 $2,847 +14% $109,100 +3%","$334,595 (+6.6 %)"
,portland,97236,4.0,2.0,1632,1958,319000,"['""zestimate"":321220']","['""rentZestimate"":1750']",single family,[],"2017 $3,766 +7.6% $171,580 +3%","$342,260 (+6.6 %)"
,portland,97206,4.0,3.0,1965,2018,499900,"['""zestimate"":491308']","['""rentZestimate"":2000']",single family,[],,"+$15,048 (+3.2 %)"
,portland,97236,4.0,,2058,1954,349000,"['""zestimate"":351274']","['""rentZestimate"":1800']",single family,[],"2017 $3,601 +6.6% $161,930 +3%","$362,480 (+3.2 %)"
,portland,97203,3.0,3.0,1899,2007,460000,"['""zestimate"":460954']","['""rentZestimate"":2100']",single family,[],"2017 $5,488 +14% $210,300 +3%","$468,099 (+1.6 %)"
,portland,97213,4.0,2.0,1440,1967,465000,"['""zestimate"":453039']","['""rentZestimate"":1495']",multi family,[],"2017 $4,286 +14% $164,220 +3%","$442,075 (-2.4 %)"
,portland,97223,4.0,3.0,1832,1986,429000,"['""zestimate"":435607']","['""rentZestimate"":2000']",single family,[],"2018 $5,190 -- $252,720 +3%","$448,762 (+3.0 %)"
,portland,97239,3.0,3.0,2252,2005,474900,"['""zestimate"":501035']","['""rentZestimate"":2200']",townhouse,[],"2017 $6,844 +14% $262,500 +3%","$528,241 (+5.4 %)"
,portland,97239,4.0,4.0,2315,2005,499900,"['""zestimate"":511045']","['""rentZestimate"":2360']",townhouse,[],"2017 $7,605 +14% $291,690 +3%","+$4,783 (+0.9 %)"
,portland,97206,3.0,,936,1954,320000,"['""zestimate"":329343']","['""rentZestimate"":1695']",single family,[],"2017 $3,445 +14% $132,000 +3%","$343,110 (+4.2 %)"
,portland,97220,3.0,2.0,1944,1954,385000,"['""zestimate"":371030']","['""rentZestimate"":1945']",single family,[],"2017 $3,633 +7.5% $166,540 +3%","+$12,913 (+3.6 %)"
,portland,97236,3.0,3.0,2467,1988,445900,"['""zestimate"":449822']","['""rentZestimate"":2250']",single family,"['HOA Fee"",""factValue"":""$14']","2017 $6,415 +12.6% $303,450 +3%","$460,618 (+2.4 %)"
,portland,97216,5.0,3.0,2085,1950,409900,"['""zestimate"":380101']","['""rentZestimate"":1695']",multi family,[],"2017 $3,746 +14% $143,540 +3%","+$10,201 (+2.8 %)"
,portland,97236,4.0,3.0,2467,1968,449000,"['""zestimate"":392129']","['""rentZestimate"":1895']",single family,[],"2017 $4,604 +14.8% $209,720 +3%","$424,519 (+8.3 %)"
,portland,97236,4.0,3.0,2365,1998,449500,"['""zestimate"":422597']","['""rentZestimate"":2250']",single family,"['HOA Fee"",""factValue"":""$17']",,"+$2,066 (+0.5 %)"
,portland,97202,2.0,,1872,1914,425000,"['""zestimate"":425577']","['""rentZestimate"":1950']",single family,[],"2017 $4,039 +14% $154,770 +3%","-$2,498 (-0.6 %)"
,portland,97233,2.0,,1472,1955,325000,"['""zestimate"":324781']","['""rentZestimate"":1345']",multi family,[],"2017 $3,804 +10.4% $171,020 +3%","-$1,628 (-0.5 %)"
,portland,97206,2.0,,680,1951,385000,"['""zestimate"":346794']","['""rentZestimate"":1495']",single family,[],"2017 $2,196 +38.8% $69,120 +3%","$350,747 (+1.1 %)"
,portland,97229,,,,,334990,"['""zestimate"":342333']","['""rentZestimate"":1695']","saturday - thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm",[],,"+$2,269 (+0.7 %)"
,portland,97220,2.0,,727,1947,250000,"['""zestimate"":253759']","['""rentZestimate"":1375']",single family,[],"2017 $1,353 +7.3% $58,040 +3%","+$1,168 (+0.5 %)"
,portland,97233,3.0,2.0,1860,1961,390000,"['""zestimate"":364366']","['""rentZestimate"":1895']",single family,[],"2017 $4,574 +11.7% $205,660 +3%","$391,548 (+7.5 %)"
,portland,97220,3.0,3.0,1564,1947,365000,"['""zestimate"":357717']","['""rentZestimate"":1910']",single family,[],"2017 $3,080 +7.5% $141,210 +3%","$384,331 (+7.4 %)"
,portland,97239,3.0,3.0,2262,2005,484900,"['""zestimate"":509675']","['""rentZestimate"":2300']",townhouse,[],"2017 $7,901 +14% $303,060 +3%","+$1,167 (+0.2 %)"
,portland,97213,4.0,2.0,1440,1967,465000,"['""zestimate"":453039']","['""rentZestimate"":1495']",multi family,[],"2017 $4,286 +14% $164,220 +3%","$442,075 (-2.4 %)"
"11220 SW 66th Ave,", Portland,['97223'],4 bd,3 ba,"1,832 sqft",1986,"$429,000","$435,607","$2,000/mo",Single Family,HOA fees$0/mo,"2018$5,190--$252,720(+3%)",(+3.0 %)
"4932 SW Slavin Rd,", Portland,['97239'],3 bd,3 ba,"2,252 sqft",2005,"$474,900","$501,035","$2,200/mo",Townhouse,HOA fees$0/mo,"2017$6,844(+14%)$262,500(+3%)",(+5.4 %)
"4920 SW Slavin Rd,", Portland,['97239'],4 bd,4 ba,"2,315 sqft",2005,"$499,900","$511,045","$2,360/mo",Townhouse,HOA fees$0/mo,"2017$7,605(+14%)$291,690(+3%)",(+0.9 %)
"7616 SE Henry St,", Portland,['97206'],3 bd,1 ba,936 sqft,1954,"$320,000","$329,343","$1,695/mo",Single Family,HOA fees$0/mo,"2017$3,445(+14%)$132,000(+3%)",(+4.2 %)
"11127 NE San Rafael St,", Portland,['97220'],3 bd,2 ba,"1,944 sqft",1954,"$385,000","$371,030","$1,945/mo",Single Family,HOA fees$0/mo,"2017$3,633(+7.5%)$166,540(+3%)",(+3.6 %)
"7880 SE 141st Ave,", Portland,['97236'],3 bd,3 ba,"2,467 sqft",1988,"$445,900","$449,822","$2,250/mo",Single Family,HOA fees$14/mo,"2017$6,415(+12.6%)$303,450(+3%)",(+2.4 %)
"2203 SE 85th Ave,", Portland,['97216'],5 bd,3 ba,"2,085 sqft",1950,"$409,900","$380,101","$1,695/mo",Multi Family,HOA fees$0/mo,"2017$3,746(+14%)$143,540(+3%)",(+2.8 %)
"3830 SE 153rd Ave,", Portland,['97236'],4 bd,3 ba,"2,467 sqft",1968,"$449,000","$392,129","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,604(+14.8%)$209,720(+3%)",(+8.3 %)
"4426 SE Anderegg Loop,", Portland,['97236'],4 bd,3 ba,"2,365 sqft",1998,"$449,500","$422,597","$2,250/mo",Single Family,HOA fees$17/mo,,(+0.5 %)
"2928 SE Tacoma St,", Portland,['97202'],2 bd,1 ba,"1,872 sqft",1914,"$425,000","$425,577","$1,950/mo",Single Family,HOA fees$0/mo,"2017$4,039(+14%)$154,770(+3%)",
"13332 SE Sherman St,", Portland,['97233'],2 bd,-- ba,"1,472 sqft",1955,"$325,000","$324,781","$1,345/mo",Multi Family,HOA fees$0/mo,"2017$3,804(+10.4%)$171,020(+3%)",
"8405 SE 66th Ave,", Portland,['97206'],2 bd,1 ba,680 sqft,1951,"$385,000","$346,794","$1,495/mo",Single Family,HOA fees$0/mo,"2017$2,196(+38.8%)$69,120(+3%)",(+1.1 %)
,portland,97229,,,,,334990,"['""zestimate"":342333']","['""rentZestimate"":1695']","saturday - thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm",[],,"+$2,269 (+0.7 %)"
"5114 NE 109th Ave,", Portland,['97220'],2 bd,1 ba,727 sqft,1947,"$250,000","$253,759","$1,375/mo",Single Family,HOA fees$0/mo,"2017$1,353(+7.3%)$58,040(+3%)",(+0.5 %)
"13644 SE Lincoln Ct,", Portland,['97233'],3 bd,2 ba,"1,860 sqft",1961,"$390,000","$364,366","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,574(+11.7%)$205,660(+3%)",(+7.5 %)
"11640 NE Knott St,", Portland,['97220'],3 bd,3 ba,"1,564 sqft",1947,"$365,000","$357,717","$1,910/mo",Single Family,HOA fees$0/mo,"2017$3,080(+7.5%)$141,210(+3%)",(+7.4 %)
"4936 SW Slavin Rd,", Portland,['97239'],3 bd,3 ba,"2,262 sqft",2005,"$484,900","$509,675","$2,300/mo",Townhouse,HOA fees$0/mo,"2017$7,901(+14%)$303,060(+3%)",(+0.2 %)
"3830 SE 91st Ave,", Portland,['97266'],3 bd,2 ba,"2,034 sqft",1955,"$389,900","$392,522","$2,000/mo",Single Family,HOA fees$0/mo,"2017$4,612(+14%)$176,720(+3%)",(+5.6 %)
"7603 SE Ellis St,", Portland,['97206'],4 bd,1 ba,"2,468 sqft",1913,"$479,500",,,Single Family,,,
,portland,97229,,,,,387995,"['""zestimate"":385449']","['""rentZestimate"":1750']",mon - sun: 10am - 5pm,[],,"-$9,188 (-2.3 %)"
"14509 SE Stephens St,", Portland,['97233'],3 bd,2 ba,"1,257 sqft",1952,"$309,900","$303,718","$1,631/mo",Single Family,HOA fees$0/mo,"2017$2,552(+7.6%)$116,260(+3%)",(+2.7 %)
"7706 SE 104th Ave,", Portland,['97266'],4 bd,2 ba,"1,600 sqft",1986,"$389,900","$378,544","$1,800/mo",Single Family,HOA fees$0/mo,"2017$4,007(+9.7%)$180,180(+3%)",(+6.7 %)
"11325 NE Morris St,", Portland,['97220'],4 bd,3 ba,"1,748 sqft",2001,"$389,000","$391,376","$2,095/mo",Single Family,HOA fees$0/mo,"2017$4,325(+7.5%)$198,300(+3%)",(+5.0 %)
,portland,97229,,,,,499995,"['""zestimate"":495599']","['""rentZestimate"":1995']",mon - sun: 10am - 5pm,[],,"-$25,705 (-4.9 %)"
,portland,97206,3.0,2.0,1144,1977,356000,"['""zestimate"":342029']","['""rentZestimate"":1795']",single family,[],"2017 $4,553 +14% $174,470 +3%","$342,610 (+0.2 %)"
"1405 SE 159th Ave,", Portland,['97233'],3 bd,1 ba,"1,200 sqft",1963,"$294,950","$298,252","$1,745/mo",Single Family,HOA fees$0/mo,"2017$3,582(+7.6%)$163,200(+3%)",(+8.9 %)
"2232 SE 76th Ave,", Portland,['97215'],4 bd,3 ba,"2,208 sqft",2006,"$465,000","$456,119","$1,995/mo",Townhouse,HOA fees$100/mo,"2017$5,967(+14%)$228,660(+3%)",
"14612 SE Rachel Ln,", Portland,['97236'],4 bd,3 ba,"1,824 sqft",2004,"$375,000","$356,428","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,047(+15%)$184,350(+3%)",(+9.7 %)
,portland,97217,3.0,,1065,1937,409000,"['""zestimate"":404990']","['""rentZestimate"":1980']",single family,[],"2017 $2,873 +14% $110,090 +3%","$409,121 (+1.0 %)"
"15806 SE Henderson Way,", Portland,['97236'],4 bd,3 ba,"2,142 sqft",2004,"$425,000",,,Single Family,,,
"6873 N Hudson St,", Portland,['97203'],3 bd,1 ba,952 sqft,1954,"$357,000","$362,148","$1,795/mo",Single Family,HOA fees$0/mo,"2017$2,981(+14%)$114,230(+3%)",(+3.8 %)
"11109 SE Flavel St,", Portland,['97266'],3 bd,3 ba,"3,416 sqft",1994,"$445,000",,,Single Family,,,
"5037 N Cecelia St,", Portland,['97203'],3 bd,3 ba,"1,530 sqft",2006,"$379,500","$364,083","$2,095/mo",Single Family,HOA fees$98/mo,"2017$3,271(+14%)$125,340(+3%)",(+7.5 %)
"1909 SE 80th Ave,", Portland,['97215'],3 bd,2 ba,"1,342 sqft",1987,"$425,000","$419,056","$1,895/mo",Single Family,HOA fees$0/mo,"2017$4,905(+14%)$187,960(+3%)",(+4.3 %)
"3157 N Terry St,", Portland,['97217'],2 bd,3 ba,"1,964 sqft",2007,"$499,000","$534,021","$2,500/mo",Single Family,HOA fees$0/mo,"2017$6,049(+14%)$231,780(+3%)",
,portland,97217,4.0,3.0,1830,2018,499999,"['""zestimate"":514107']","['""rentZestimate"":2500']",single family,[],,Unavailable
"11417 SE Clinton Ct,", Portland,['97266'],4 bd,3 ba,"1,960 sqft",2006,"$384,900","$379,025","$2,095/mo",Single Family,HOA fees$0/mo,"2017$4,399(+8.9%)$197,810(+3%)",(+4.2 %)
,portland,97229,,,,,499995,"['""zestimate"":515451']",[],mon - sun: 10am - 5pm,[],,"+$9,432 (+1.9 %)"
"025 SW Slavin Rd APT 5,", Portland,['97239'],2 bd,4 ba,"1,893 sqft",2005,"$399,000",,,Condo,,,
"630 SE 134th Ave,", Portland,['97233'],3 bd,1 ba,"1,544 sqft",1962,"$299,000",,,Single Family,HOA fees$0/mo,"2017$3,127(+8.4%)$145,990(+3%)",
"9714 SE Ankeny St,", Portland,['97216'],3 bd,2 ba,"1,274 sqft",1964,"$329,900","$334,365","$1,795/mo",Single Family,HOA fees$0/mo,"2017$2,928(+6.6%)$131,650(+3%)",(+7.6 %)
"4314 SE 75th Ave,", Portland,['97206'],3 bd,2 ba,"2,095 sqft",1961,"$495,000","$491,766","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,489(+14%)$172,020(+3%)",(+1.5 %)
"6540 SE Woodstock Blvd,", Portland,['97206'],4 bd,2 ba,"1,753 sqft",1981,"$449,900","$453,718","$1,495/mo",Multi Family,HOA fees$0/mo,"2017$5,567(+14%)$213,300(+3%)",(+1.7 %)
"5745 E Burnside St,", Portland,['97215'],2 bd,3 ba,"1,091 sqft",2017,"$459,900","$464,205","$1,795/mo",Townhouse,HOA fees$50/mo,"2017$5,600(+2814.5%)$105,760(+1197.7%)",(+0.3 %)
"905 N Harbour Dr UNIT 4,", Portland,['97217'],4 bd,4 ba,"2,630 sqft",2000,"$485,000","$490,612","$2,150/mo",Condo,HOA fees$0/mo,"2017$10,881(+11.8%)$425,160(+3%)",
"4810 SW 2nd Ave,", Portland,['97239'],3 bd,3 ba,"1,644 sqft",1998,"$419,950","$424,814","$1,795/mo",Townhouse,HOA fees$32/mo,"2017$6,501(+14%)$249,360(+3%)",
"8517 NE Brazee St,", Portland,['97220'],5 bd,5 ba,"3,843 sqft",2004,"$484,999","$532,907","$2,095/mo",Single Family,HOA fees$0/mo,"2017$7,533(+14%)$288,650(+3%)",(+5.3 %)
"9944 SE Division St,", Portland,['97266'],3 bd,2 ba,"1,341 sqft",2017,"$312,000","$314,306","$1,650/mo",Single Family,HOA fees$0/mo,"2017$3,754(+85.4%)$143,850(+67.5%)",
"3638 NE 158th Ave,", Portland,['97230'],3 bd,3 ba,"1,286 sqft",2003,"$249,900","$252,634","$1,600/mo",Condo,HOA fees$23/mo,"2017$3,407(+16.5%)$152,800(+3%)",(+0.2 %)
"15783 SE Clatsop St,", Portland,['97236'],3 bd,2 ba,"2,106 sqft",1951,"$469,000","$496,469","$1,995/mo",Single Family,HOA fees$0/mo,"2017$5,177(+7.6%)$235,850(+3%)",
"4234 SE 113th Ave,", Portland,['97266'],2 bd,1 ba,784 sqft,1950,"$274,900","$280,123","$1,495/mo",Single Family,HOA fees$0/mo,"2017$2,418(+6.6%)$108,740(+3%)",
"1438 SE 174th Ave,", Portland,['97233'],2 bd,2 ba,"1,200 sqft",1956,"$289,900","$288,935","$1,740/mo",Single Family,HOA fees$0/mo,"2017$2,987(+8.8%)$133,970(+3%)",(+9.3 %)
,portland,97229,,,,,284990,"['""zestimate"":269776']","['""rentZestimate"":1533']","saturday - thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm",[],,"-$2,799 (-1.0 %)"
,portland,97229,,,,,329990,"['""zestimate"":357833']",[],"thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm, saturday - monday 11:00am - 5:30pm",[],,Unavailable
"1377 N Humboldt St,", Portland,['97217'],2 bd,3 ba,"1,051 sqft",2018,"$414,900",,,Condo,,,
"4400 SE 101st Ave,", Portland,['97266'],4 bd,2 ba,"2,290 sqft",1951,"$422,000","$414,462","$2,195/mo",Single Family,HOA fees$0/mo,"2017$5,097(+14%)$195,290(+3%)",(+7.3 %)
"550 NE 148th Ave,", Portland,['97230'],6 bd,4 ba,"3,459 sqft",1960,"$429,900","$456,426","$1,899/mo",Single Family,HOA fees$0/mo,,(+0.2 %)
"4720 SE Cesar E Chavez Blvd,", Portland,['97202'],4 bd,2 ba,"1,480 sqft",1966,"$475,000","$457,013","$1,475/mo",Multi Family,HOA fees$0/mo,"2017$4,531(+14%)$173,630(+3%)",(+0.4 %)
"9103 SE Knapp St,", Portland,['97266'],2 bd,1 ba,"1,226 sqft",1948,"$369,000","$365,818","$1,715/mo",Single Family,HOA fees$0/mo,"2017$4,400(+14%)$168,590(+3%)",(+4.3 %)
,portland,97229,,,,,492995,"['""zestimate"":484024']",[],mon - sun: 10am - 5pm,[],,Unavailable
"7506 N Columbia Blvd,", Portland,['97203'],2 bd,1 ba,936 sqft,1948,"$300,000","$312,357","$1,695/mo",Single Family,HOA fees$0/mo,"2017$2,652(+14%)$101,610(+3%)",
"3207 SE 162nd Ave,", Portland,['97236'],3 bd,1 ba,960 sqft,1966,"$285,000","$287,443","$1,650/mo",Single Family,HOA fees$0/mo,"2017$2,848(+7.6%)$129,730(+3%)",(+5.9 %)
"6136 SE Harney St,", Portland,['97206'],3 bd,1 ba,"1,572 sqft",1953,"$374,999","$375,642","$1,905/mo",Single Family,HOA fees$0/mo,"2017$3,504(+14%)$134,270(+3%)",(+5.3 %)
"2258 NE 153rd Ave,", Portland,['97230'],2 bd,2 ba,"1,298 sqft",1984,"$322,500","$330,441","$1,790/mo",Single Family,HOA fees$27/mo,"2017$4,958(+19.3%)$222,350(+3%)",(+4.3 %)
,portland,97229,,,,,489990,"['""zestimate"":495806']",[],"thursday 11:00am - 5:30pm, friday 12:00pm - 5:30pm, saturday - monday 11:00am - 5:30pm",[],,Unavailable
,portland,97236,,,,,475900,"['""zestimate"":456182']","['""rentZestimate"":2150']",mon 11-5 ; tue 11-5 ; wed by appt ; thu by appt ; fri 12-5 ; sat 11-5 ; sun 11-5,[],,"-$1,027 (-0.2 %)"
"7105 SE Mitchell St,", Portland,['97206'],2 bd,1 ba,676 sqft,1950,"$329,900","$331,600","$1,595/mo",Single Family,HOA fees$0/mo,"2017$2,645(+14%)$101,340(+3%)",(+2.3 %)
"746 NE Stafford St,", Portland,['97211'],3 bd,2 ba,"2,194 sqft",1951,"$439,900","$459,975","$2,095/mo",Single Family,HOA fees$0/mo,"2017$3,229(+14%)$123,710(+3%)",
"4060 SE 139th Ave,", Portland,['97236'],4 bd,3 ba,"1,577 sqft",2011,"$354,000","$342,864","$1,850/mo",Single Family,HOA fees$0/mo,"2017$3,626(+7.5%)$163,050(+3%)",(+10.1 %)
,portland,97236,4.0,2.0,2481,2018,475000,"['""zestimate"":398302']",[],single family,[],"2017 $387 +6.6% $17,400 +3%","+$1,729 (+0.4 %)"
"7418 N Williams Ave,", Portland,['97217'],3 bd,3 ba,"1,545 sqft",2015,"$450,000","$452,418","$2,095/mo",Single Family,HOA fees$0/mo,"2017$5,892(+14%)$225,780(+3%)",(+4.5 %)
,portland,97233,3.0,,1143,1947,,"['""zestimate"":301750']","['""rentZestimate"":1750']",single family,[],"2017 $3,204 -32.1% $145,950 +3%","$327,972 (+8.7 %)"
,portland,97217,3.0,3.0,1575,2019,480000,"['""zestimate"":404372']","['""rentZestimate"":2095']",single family,[],,Unavailable
"4434 SE 26th Ave,", Portland,['97202'],2 bd,1 ba,"1,680 sqft",1929,"$499,999","$493,992","$2,250/mo",Single Family,HOA fees$0/mo,"2017$3,386(+14%)$129,730(+3%)",(+0.3 %)
"235 SE 80th Ave,", Portland,['97215'],2 bd,1 ba,"1,241 sqft",1949,"$389,900","$396,638","$1,695/mo",Single Family,HOA fees$0/mo,"2017$2,982(+14%)$114,270(+3%)",(+2.9 %)
"1224 SE 163rd Pl,", Portland,['97233'],3 bd,2 ba,"1,416 sqft",1978,"$395,000","$335,881","$1,799/mo",Single Family,HOA fees$0/mo,"2017$3,898(+8.1%)$177,580(+3%)",(+3.7 %)
,portland,97220,2.0,,868,1942,,"['""zestimate"":339672']","['""rentZestimate"":1650']",single family,[],"2017 $3,217 +7.5% $147,490 +3%","$351,323 (+3.4 %)"
"3141 SE 115th Ave,", Portland,['97266'],4 bd,2 ba,"2,053 sqft",1947,"$499,000","$471,248","$1,995/mo",Single Family,HOA fees$0/mo,"2017$4,550(+6.6%)$204,600(+3%)",(+7.1 %)
"8138 SE Ogden St,", Portland,['97206'],3 bd,1 ba,988 sqft,1924,"$295,000","$302,471","$1,620/mo",Single Family,HOA fees$0/mo,"2017$1,303(+14%)$49,950(+3%)",(+0.7 %)
"2321 SE 89th Ave,", Portland,['97216'],2 bd,1 ba,802 sqft,1927,"$342,000","$340,085","$1,525/mo",Single Family,HOA fees$0/mo,"2017$3,170(+14%)$121,460(+3%)",(+6.4 %)
"15557 E Burnside St,", Portland,['97233'],4 bd,4 ba,"1,780 sqft",1970,"$352,900","$347,121","$1,395/mo",Single Family,HOA fees$0/mo,"2017$3,875(+12%)$173,780(+3%)",(+0.2 %)
"533 SE 113th Ave,", Portland,['97216'],2 bd,1 ba,860 sqft,1951,"$275,000","$284,579","$1,550/mo",Single Family,HOA fees$0/mo,"2017$2,802(+6.6%)$125,990(+3%)",(+1.1 %)
"511 NE Skidmore St,", Portland,['97211'],3 bd,3 ba,"1,692 sqft",2003,"$484,500","$493,098","$2,250/mo",Single Family,HOA fees$0/mo,"2017$4,392(+14%)$168,290(+3%)",(+0.2 %)
"9126 SE Taggart St,", Portland,['97266'],4 bd,3 ba,"1,848 sqft",2003,"$384,900","$385,633","$2,095/mo",Single Family,HOA fees$0/mo,"2017$4,806(+14%)$184,160(+3%)",(+3.7 %)
"12132 SE Boise St,", Portland,['97266'],2 bd,3 ba,"1,652 sqft",1954,"$255,000","$268,297","$1,425/mo",Condo,HOA fees$0/mo,"2017$2,935(+9.3%)$131,990(+3%)",(+10.1 %)
"2827 SE 103rd Ave,", Portland,['97266'],5 bd,5 ba,"2,700 sqft",1939,"$469,000",,,Single Family,,,
"6415 SE 85th Ave,", Portland,['97266'],5 bd,2 ba,"2,200 sqft",1958,"$414,900","$384,111","$1,850/mo",Single Family,HOA fees$24/mo,"2017$3,077(+14%)$117,890(+3%)",(+0.6 %)
