,MeetCountry,Year,MeetID,MeetPath,Federation,Date,MeetState,MeetTown,MeetName,POP
0,Norway,1974,17,17,17,17,0,17,17,3985258.0
1,USA,1974,1,1,1,1,1,1,1,213854000.0
2,Norway,1975,11,11,11,11,0,11,11,4007313.0
3,UK,1975,1,1,1,1,0,1,1,56225800.0
4,USA,1976,1,1,1,1,1,1,1,218035000.0
5,Australia,1977,1,1,1,1,1,1,1,14192000.0
6,Finland,1978,1,1,1,1,0,1,1,
7,Norway,1978,1,1,1,1,0,1,1,4058671.0
8,Canada,1979,2,2,2,2,2,1,2,24277000.0
9,Norway,1979,3,3,3,3,0,3,3,4072517.0
10,USA,1979,1,1,1,1,1,1,1,225055000.0
11,Norway,1980,3,3,3,3,0,3,3,4085620.0
12,USA,1980,1,1,1,1,1,1,1,227225000.0
13,India,1981,1,1,1,1,1,1,1,
14,Norway,1981,1,1,1,1,0,1,1,4099702.0
15,Germany,1982,1,1,1,1,0,1,1,
16,Norway,1982,18,18,18,18,0,18,18,4114787.0
17,USA,1982,1,1,1,1,1,1,1,231664000.0
18,Canada,1983,2,2,2,2,2,2,2,25456000.0
19,Norway,1983,5,5,5,5,0,5,5,4128432.0
20,Sweden,1983,1,1,1,1,0,1,1,
21,Australia,1984,1,1,1,1,1,1,1,15544000.0
22,Canada,1984,2,2,2,2,2,2,2,25702000.0
23,Indonesia,1984,1,1,1,1,0,1,1,
24,USA,1984,1,1,1,1,1,1,1,235825000.0
25,Canada,1985,2,2,2,2,2,2,2,25942000.0
26,Finland,1985,1,1,1,1,0,1,1,
27,Norway,1985,3,3,3,3,0,3,3,4152516.0
28,Canada,1986,4,4,4,4,4,2,4,26204000.0
29,Netherlands,1986,1,1,1,1,0,1,1,
30,Norway,1986,1,1,1,1,0,1,1,4167354.0
31,USA,1986,1,1,1,1,1,1,1,240133000.0
32,Canada,1987,1,1,1,1,1,1,1,26550000.0
33,Norway,1987,7,7,7,7,0,7,7,4186905.0
34,USA,1987,1,1,1,1,1,1,1,242289000.0
35,Canada,1988,1,1,1,1,1,1,1,26895000.0
36,Norway,1988,1,1,1,1,0,1,1,4209488.0
37,USA,1988,1,1,1,1,1,1,1,244499000.0
38,Norway,1989,6,6,6,6,0,6,6,4226901.0
39,USA,1989,1,1,1,1,1,1,1,246819000.0
40,Norway,1990,17,17,17,17,0,17,17,4241473.0
41,Norway,1991,108,108,108,108,0,102,108,4261732.0
42,USA,1991,1,1,1,1,1,1,1,252981000.0
43,New Zealand,1992,1,1,1,1,1,1,1,3531700.0
44,Norway,1992,1,1,1,1,0,1,1,4286401.0
45,UK,1992,1,1,1,1,0,1,1,57580402.0
46,New Zealand,1993,4,4,4,4,4,3,4,3572200.0
47,Canada,1994,1,1,1,1,1,1,1,29111906.0
48,Norway,1994,1,1,1,1,0,1,1,4336613.0
49,South Africa,1994,1,1,1,1,0,1,1,
50,Canada,1995,14,14,14,14,14,14,14,29354000.0
51,Norway,1995,4,4,4,4,0,4,4,4359184.0
52,USA,1995,1,1,1,1,1,1,1,266278000.0
53,Canada,1996,24,24,24,24,24,21,24,29671900.0
54,Norway,1996,4,4,4,4,0,4,4,4381336.0
55,Canada,1997,18,18,18,18,18,16,18,29987200.0
56,Norway,1997,19,19,19,19,0,19,19,4405157.0
57,USA,1997,2,2,2,2,2,2,2,272657000.0
58,Canada,1998,29,29,29,29,27,26,29,30247900.0
59,Norway,1998,56,56,56,56,0,55,56,4431464.0
60,USA,1998,5,5,5,5,5,5,5,275854000.0
61,Canada,1999,53,53,53,53,53,50,53,30499200.0
62,Norway,1999,13,13,13,13,0,13,13,4461913.0
63,USA,1999,8,8,8,8,8,8,8,279040000.0
64,Argentina,2000,1,1,1,1,0,1,1,
65,Canada,2000,60,60,60,60,60,55,60,30769700.0
66,Japan,2000,1,1,1,1,0,1,1,
67,Norway,2000,113,113,113,113,0,110,113,4490967.0
68,USA,2000,14,14,14,14,14,14,14,282162411.0
69,Canada,2001,85,85,85,85,85,83,85,31081900.0
70,Norway,2001,101,101,101,101,0,94,101,4513751.0
71,USA,2001,14,14,14,14,14,14,14,284968955.0
72,Canada,2002,9,9,9,9,9,9,9,31362000.0
73,Norway,2002,117,117,117,117,0,114,117,4538159.0
74,USA,2002,12,12,12,12,12,12,12,287625193.0
75,Australia,2003,5,5,5,5,5,5,5,19895400.0
76,Canada,2003,23,23,23,23,23,23,23,31676000.0
77,New Zealand,2003,1,1,1,1,1,1,1,4027200.0
78,Norway,2003,120,120,120,120,0,114,120,4564855.0
79,USA,2003,12,12,12,12,12,11,12,290107933.0
80,Australia,2004,7,7,7,7,7,7,7,20127400.0
81,Canada,2004,37,37,37,37,37,37,37,31995000.0
82,Norway,2004,127,127,127,127,0,121,127,4591910.0
83,USA,2004,16,16,16,16,16,16,16,292805298.0
84,Canada,2005,36,36,36,36,36,36,36,32312000.0
85,New Zealand,2005,1,1,1,1,1,1,1,4133900.0
86,Norway,2005,116,116,116,116,0,109,116,4623291.0
87,Russia,2005,1,1,1,1,0,0,1,143518523.0
88,UK,2005,2,2,2,2,0,2,2,60401206.0
89,USA,2005,16,16,16,16,16,16,16,295516599.0
90,Canada,2006,28,28,28,28,28,28,28,32570505.0
91,New Zealand,2006,1,1,1,1,1,1,1,4184600.0
92,Norway,2006,122,122,122,122,0,112,122,4660677.0
93,Russia,2006,1,1,1,1,0,0,1,143049528.0
94,USA,2006,16,16,16,16,16,15,16,298379912.0
95,Australia,2007,14,14,14,14,14,11,14,20827600.0
96,Canada,2007,37,37,37,37,37,37,37,32887928.0
97,New Zealand,2007,16,16,16,16,11,13,16,4223800.0
98,Norway,2007,122,122,122,122,0,119,122,4709153.0
99,Russia,2007,1,1,1,1,0,0,1,142805088.0
100,USA,2007,31,31,31,31,27,23,31,301231207.0
101,Australia,2008,29,29,29,29,28,26,29,21249200.0
102,Canada,2008,40,40,40,40,38,40,40,33245773.0
103,New Zealand,2008,12,12,12,12,10,9,12,4259800.0
104,Norway,2008,108,108,108,108,0,108,108,4768212.0
105,Russia,2008,1,1,1,1,0,0,1,142742350.0
106,USA,2008,44,44,44,44,41,31,44,304093966.0
107,Australia,2009,30,30,30,30,30,30,30,21691700.0
108,Canada,2009,32,32,32,32,32,32,32,33628571.0
109,India,2009,4,4,4,4,2,4,4,
110,New Zealand,2009,6,6,6,6,6,6,6,4302600.0
111,Norway,2009,103,103,103,103,0,103,103,4828726.0
112,Russia,2009,5,5,5,5,0,0,5,142785342.0
113,USA,2009,37,37,37,37,33,31,37,306771529.0
114,Australia,2010,31,31,31,31,31,31,31,22031750.0
115,Canada,2010,35,35,35,35,35,35,35,34005274.0
116,New Zealand,2010,13,13,13,13,13,12,13,4350700.0
117,Norway,2010,129,129,129,129,0,129,129,4889252.0
118,Russia,2010,5,5,5,5,0,2,5,142849449.0
119,South Africa,2010,2,2,2,2,0,2,2,
120,USA,2010,49,49,49,49,35,21,49,309338421.0
121,Australia,2011,34,34,34,34,34,34,34,22340024.0
122,Canada,2011,38,38,38,38,38,38,38,34342780.0
123,Czechia,2011,2,2,2,2,0,2,2,
124,New Caledonia,2011,1,1,1,1,0,1,1,
125,New Zealand,2011,20,20,20,20,20,20,20,4384000.0
126,Norway,2011,144,144,144,144,0,144,144,4953088.0
127,Russia,2011,3,3,3,3,0,1,3,142960868.0
128,UK,2011,2,2,2,2,0,1,2,63258918.0
129,USA,2011,80,80,80,80,67,41,80,311644280.0
130,Australia,2012,34,34,34,34,34,34,34,22742475.0
131,Canada,2012,41,41,41,41,41,41,41,34750545.0
132,Cayman Islands,2012,1,1,1,1,0,1,1,
133,New Zealand,2012,17,17,17,17,17,16,17,4408100.0
134,Norway,2012,147,147,147,147,0,146,147,5018573.0
135,Puerto Rico,2012,2,2,2,2,0,2,2,
136,Russia,2012,2,2,2,2,0,1,2,143201676.0
137,Sweden,2012,2,2,2,2,0,2,2,
138,UK,2012,6,6,6,6,0,1,6,63700300.0
139,USA,2012,133,133,133,133,120,96,133,313993272.0
140,Australia,2013,42,42,42,42,42,42,42,23145901.0
141,Brazil,2013,1,1,1,1,1,0,1,
142,Canada,2013,47,47,47,47,47,47,47,35152370.0
143,Colombia,2013,2,2,2,2,0,2,2,
144,New Zealand,2013,22,22,22,22,14,22,22,4442100.0
145,Norway,2013,154,154,154,154,0,140,154,5079623.0
146,Russia,2013,3,3,3,3,0,2,3,143506911.0
147,UK,2013,6,6,6,6,0,1,6,64128226.0
148,USA,2013,189,189,189,189,172,136,189,316234505.0
149,Ukraine,2013,2,2,2,2,0,2,2,
150,Australia,2014,47,47,47,47,47,47,47,23504138.0
151,Canada,2014,59,59,59,59,59,58,59,35535348.0
152,Italy,2014,2,2,2,2,0,2,2,
153,New Zealand,2014,17,17,17,17,17,17,17,4509700.0
154,Norway,2014,133,133,133,133,0,125,133,5137232.0
155,Russia,2014,3,3,3,3,0,2,3,143819666.0
156,South Africa,2014,2,2,2,2,0,2,2,
157,UK,2014,14,14,14,14,0,6,14,64613160.0
158,US Virgin Islands,2014,1,1,1,1,0,1,1,
159,USA,2014,351,351,351,351,338,191,351,318622525.0
160,Ukraine,2014,2,2,2,2,0,2,2,
161,Australia,2015,68,68,68,68,68,68,68,23850784.0
162,Brazil,2015,1,1,1,1,0,1,1,
163,Canada,2015,82,82,82,82,81,80,82,35832513.0
164,Czechia,2015,4,4,4,4,0,4,4,
165,Finland,2015,4,4,4,4,0,4,4,
166,Germany,2015,2,2,2,2,0,2,2,
167,Ireland,2015,2,2,2,2,0,0,2,
168,Luxembourg,2015,2,2,2,2,0,2,2,
169,New Zealand,2015,18,18,18,18,17,16,18,4595700.0
170,Norway,2015,150,150,150,150,0,147,150,5190239.0
171,Peru,2015,1,1,1,1,0,1,1,
172,Russia,2015,3,3,3,3,0,2,3,144096870.0
173,UK,2015,16,16,16,16,0,6,16,65128861.0
174,USA,2015,512,512,512,512,482,283,512,321039839.0
175,Australia,2016,81,81,81,81,81,81,81,24210809.0
176,Belarus,2016,2,2,2,2,0,2,2,
177,Brazil,2016,1,1,1,1,0,1,1,
178,Canada,2016,104,104,104,104,104,104,104,36264604.0
179,Czechia,2016,4,4,4,4,0,4,4,
180,Estonia,2016,4,4,4,4,0,4,4,
181,Finland,2016,4,4,4,4,0,4,4,
182,France,2016,3,3,3,3,0,3,3,
183,Greece,2016,1,1,1,1,0,1,1,
184,Ireland,2016,7,7,7,7,0,0,7,
185,Italy,2016,4,4,4,4,0,4,4,
186,New Zealand,2016,26,26,26,26,19,25,26,4693200.0
187,Norway,2016,115,115,115,115,0,114,115,5234519.0
188,Poland,2016,2,2,2,2,0,2,2,
189,Russia,2016,7,7,7,7,0,7,7,144342396.0
190,Serbia,2016,7,7,7,7,0,7,7,
191,South Africa,2016,2,2,2,2,0,2,2,
192,Spain,2016,6,6,6,6,0,6,6,
193,UK,2016,12,12,12,12,0,5,12,65595565.0
194,US Virgin Islands,2016,2,2,2,2,0,2,2,
195,USA,2016,1081,1081,1081,1081,1048,774,1081,323405935.0
196,Australia,2017,105,105,105,105,104,98,105,24598933.0
197,Belarus,2017,1,1,1,1,0,1,1,
198,Canada,2017,117,117,117,117,115,114,117,36708083.0
199,Colombia,2017,1,1,1,1,0,0,1,
200,Czechia,2017,2,2,2,2,0,2,2,
201,Denmark,2017,2,2,2,2,0,2,2,
202,Finland,2017,6,6,6,6,0,6,6,
203,France,2017,3,3,3,3,0,3,3,
204,Greece,2017,1,1,1,1,0,1,1,
205,Iceland,2017,1,1,1,1,0,1,1,
206,Ireland,2017,12,12,12,12,0,3,12,
207,Israel,2017,1,1,1,1,0,1,1,
208,Kazakhstan,2017,2,2,2,2,0,2,2,
209,Malaysia,2017,1,1,1,1,0,0,1,
210,New Zealand,2017,20,20,20,20,20,20,20,4793900.0
211,Norway,2017,100,100,100,100,0,100,100,5282223.0
212,Poland,2017,1,1,1,1,0,1,1,
213,Russia,2017,8,8,8,8,0,8,8,144495044.0
214,Singapore,2017,1,1,1,1,0,0,1,
215,South Africa,2017,1,1,1,1,0,1,1,
216,Spain,2017,2,2,2,2,0,2,2,
217,Sweden,2017,1,1,1,1,0,1,1,
218,UK,2017,28,28,28,28,0,7,28,66022273.0
219,USA,2017,1223,1223,1223,1223,1204,847,1223,325719178.0
220,Australia,2018,3,3,3,3,3,0,3,24772247.0
221,Canada,2018,3,3,3,3,3,3,3,37058856.0
222,UK,2018,3,3,3,3,0,3,3,66834687.0
223,USA,2018,37,37,37,37,37,17,37,326766748.0
